pool,lambda,mean_maxpost,mean_entropy,ari_vs_gmm,hard_P6,hard_P7,hard_P8,hard_P9,hard_P10,soft_P6,soft_P7,soft_P8,soft_P9,soft_P10,deconv_P6,deconv_P7,deconv_P8,deconv_P9,deconv_P10
linear,0.0,0.9915441940543406,0.015366141800597189,0.37185515159642296,0.33675694792372757,0.1866483942903736,0.27828043185680745,0.115916615091411,0.0823976108376804,0.33655715449096846,0.18666182769695652,0.27835250263743333,0.11596296514614043,0.08246555002836571,0.3365571544909957,0.18666182769698517,0.27835250263745775,0.1159629651461678,0.08246555002839348
linear,0.05,0.9529125737455411,0.1483676056437901,0.37185689501030567,0.3367520359946165,0.1866483942903736,0.27828534378591846,0.115916615091411,0.0823976108376804,0.3297060652165701,0.1874982605168328,0.274460929830901,0.12012786499156931,0.08820687944413455,0.32970606521656876,0.1874982605168318,0.2744609298308979,0.12012786499156779,0.08820687944413387
linear,0.1,0.914280954868879,0.2481417670426185,0.3718592176739278,0.3367520359946165,0.1866483942903736,0.27828043185680745,0.115916615091411,0.08240252276679143,0.32285497594207735,0.18833469333667333,0.2705693570243715,0.12429276483699564,0.09394820885988232,0.32285497594207774,0.18833469333667305,0.2705693570243714,0.12429276483699517,0.09394820885988267
linear,0.15000000000000002,0.8756493395211453,0.3345128088263316,0.37186393871003026,0.3367471240655055,0.18665330621948464,0.27828534378591846,0.11591170316229996,0.08240252276679143,0.31600388666758933,0.18917112615651363,0.2666777842178368,0.12845766468242434,0.09968953827564343,0.31600388666758833,0.18917112615651238,0.2666777842178343,0.12845766468242287,0.09968953827564224
linear,0.2,0.8370177315894198,0.4117489445518401,0.37185713769465645,0.33674221213639444,0.18665330621948464,0.27828534378591846,0.11591170316229996,0.08240743469590246,0.30915279739309465,0.1900075589763614,0.2627862114113025,0.13262256452785057,0.10543086769139198,0.3091527973930937,0.19000755897635996,0.2627862114113037,0.13262256452785076,0.10543086769139193
linear,0.25,0.7983861278205633,0.48185885446489,0.37185713769465645,0.33674221213639444,0.18665330621948464,0.27828534378591846,0.11591170316229996,0.08240743469590246,0.3023017081186099,0.19084399179620198,0.2588946386047733,0.13678746437327857,0.11117219710714386,0.3023017081186087,0.1908439917962017,0.2588946386047702,0.13678746437327677,0.11117219710714257
linear,0.30000000000000004,0.7597545242594167,0.5460039462789533,0.3718574392879761,0.3367471240655055,0.18665330621948464,0.27828043185680745,0.11591170316229996,0.08240743469590246,0.2954506188441082,0.19168042461604956,0.25500306579824045,0.14095236421870547,0.11691352652289837,0.2954506188441123,0.1916804246160468,0.2550030657982402,0.14095236421870394,0.11691352652289679
linear,0.35000000000000003,0.7211229320990534,0.6049293783822532,0.3718574392879761,0.3367471240655055,0.18665330621948464,0.27828043185680745,0.11591170316229996,0.08240743469590246,0.28859952956962354,0.1925168574358918,0.25111149299170576,0.14511726406413045,0.12265485593864603,0.2885995295696235,0.1925168574358913,0.25111149299170854,0.14511726406413106,0.1226548559386458
linear,0.4,0.6824913420323477,0.6591420255347971,0.3718574392879761,0.3367471240655055,0.18665330621948464,0.27828043185680745,0.11591170316229996,0.08240743469590246,0.28174844029513263,0.19335329025573117,0.24721992018517508,0.14928216390956112,0.1283961853544002,0.2817484402951344,0.1933532902557314,0.24721992018517439,0.14928216390956053,0.12839618535439937
linear,0.45,0.6438597861687778,0.7089973076303099,0.3719195798072286,0.3367520359946165,0.18666804200681775,0.2782706079985854,0.11590679123318892,0.08240252276679143,0.2748973510206418,0.19418972307557333,0.2433283473786465,0.15344706375498546,0.13413751477015282,0.27489735102064217,0.19418972307557278,0.2433283473786459,0.15344706375498637,0.1341375147701528
linear,0.5,0.6052282922812614,0.7547462101728316,0.3719269592852183,0.3367520359946165,0.18666804200681775,0.2782656960694743,0.11590679123318892,0.08240743469590246,0.2680462617461457,0.19502615589541616,0.2394367745721161,0.15761196360041269,0.1398788441859068,0.2680462617461492,0.19502615589541564,0.239436774572115,0.15761196360041313,0.13987884418590707
linear,0.55,0.5665968273449582,0.7965624352978102,0.37196699112551745,0.3367520359946165,0.1866729539359288,0.27826078414036326,0.11590679123318892,0.08240743469590246,0.2611951724716588,0.19586258871526482,0.23554520176558014,0.16177686344583547,0.14562017360165852,0.2611951724716583,0.1958625887152678,0.23554520176557858,0.16177686344583575,0.14562017360165957
linear,0.6000000000000001,0.5279654357630338,0.8345585230334994,0.3720011681442467,0.3367520359946165,0.1866876897232619,0.2782411364239191,0.11590679123318892,0.08241234662501351,0.2543440831971696,0.19669902153510424,0.23165362895904745,0.1659417632912642,0.15136150301741338,0.2543440831971702,0.1966990215351041,0.2316536289590473,0.1659417632912646,0.15136150301741388
linear,0.65,0.4893341022795761,0.8687952041181194,0.3720163899657652,0.3367520359946165,0.18669751358148398,0.2782362244948081,0.11590679123318892,0.08240743469590246,0.24749299392268098,0.1975354543549514,0.22776205615251463,0.17010666313669115,0.15710283243315884,0.24749299392268112,0.19753545435495165,0.2277620561525128,0.17010666313669454,0.1571028324331599
linear,0.7000000000000001,0.45070284744201855,0.8992860993840767,0.3720437767916542,0.33676185985283863,0.18669751358148398,0.27820675292014185,0.11592152702052204,0.08241234662501351,0.24064190464819193,0.19837188717479232,0.22387048334598747,0.1742715629821185,0.16284416184891545,0.24064190464819368,0.1983718871747894,0.22387048334598694,0.17427156298211574,0.1628441618489142
linear,0.75,0.4120717271189452,0.9259987238258054,0.37205549212730266,0.33676185985283863,0.18669751358148398,0.2782018409910308,0.11591170316229996,0.08242708241234663,0.23379081537369353,0.19920831999463517,0.21997891053945273,0.1784364628275441,0.168585491264666,0.233790815373695,0.19920831999463506,0.21997891053945598,0.17843646282754747,0.16858549126466654
linear,0.8,0.37344085590679377,0.9488519872931686,0.372107407838044,0.3367471240655055,0.1867122493688171,0.2782018409910308,0.115916615091411,0.08242217048323558,0.22693972609920224,0.20004475281448317,0.2160873377329222,0.18260136267297367,0.17432682068042024,0.2269397260991965,0.2000447528144883,0.21608733773292274,0.182601362672972,0.17432682068042044
linear,0.8500000000000001,0.3348103931337282,0.9677096896445291,0.37214791164388245,0.33673730020728343,0.18672698515615022,0.2781674574872535,0.11593135087874412,0.0824369062705687,0.22008863682471363,0.2008811856343168,0.21219576492639058,0.18676626251840006,0.18006815009617236,0.2200886368247166,0.20088118563431256,0.21219576492639336,0.18676626251840378,0.1800681500961736
linear,0.9,0.29618114061085504,0.9823686140277039,0.37231736661588877,0.33670782863261717,0.1867122493688171,0.2781871052036977,0.11595099859518827,0.08244181819967975,0.21323754755022323,0.20171761845416838,0.2083041921198557,0.19093116236382396,0.18580947951192484,0.2132375475502263,0.20171761845416974,0.20830419211985252,0.19093116236382612,0.18580947951192534
linear,0.9500000000000001,0.25757384150512397,0.9925383167382882,0.37349100750503533,0.3362657550126237,0.1869234623205918,0.2777352077254821,0.11638816028607075,0.08268741465523169,0.20638645827573193,0.20255405127401,0.2044126193133248,0.1950960622092527,0.19155080892768034,0.20638645827573945,0.20255405127399836,0.20441261931333363,0.19509606220924916,0.19155080892767945
linear,1.0,0.2213404577343438,0.9978067031940733,0.46053433694991763,0.294691187016789,0.20265637126324992,0.24390675193775604,0.14286345819457133,0.11588223158763372,0.1995353690012448,0.2033904840938512,0.20052104650679306,0.19926096205467908,0.19729213834343318,0.19953536900126492,0.20339048409381896,0.20052104650681268,0.19926096205467966,0.1972921383434236
log,0.0,0.9915441940536774,0.015366141801007848,0.37185515159642296,0.33675694792372757,0.1866483942903736,0.27828043185680745,0.115916615091411,0.0823976108376804,0.33655715449073453,0.18666182769693573,0.27835250263724076,0.11596296514620792,0.082465550028536,0.3365571544908077,0.18666182769700213,0.27835250263731703,0.11596296514627223,0.08246555002860087
log,0.05,0.9908431528014997,0.016910106391823762,0.3718592176739278,0.3367520359946165,0.1866483942903736,0.27828043185680745,0.115916615091411,0.08240252276679143,0.33652703575474024,0.18665833106674382,0.27835850502857107,0.11597862831891884,0.08247749983051685,0.33652703575484016,0.18665833106684784,0.27835850502866927,0.11597862831902211,0.08247749983062067
log,0.1,0.9900140036283241,0.018759932091360097,0.37186393871003026,0.3367471240655055,0.18665330621948464,0.27828534378591846,0.11591170316229996,0.08240252276679143,0.3364889623342707,0.18665346018338844,0.27836498903802476,0.11599907862042844,0.08249350982361124,0.33648896233432773,0.1866534601834436,0.2783649890380816,0.1159990786204818,0.0824935098236653
log,0.15000000000000002,0.9890216813365135,0.021000094735858288,0.3718574392879761,0.3367471240655055,0.18665330621948464,0.27828043185680745,0.11591170316229996,0.08240743469590246,0.33644013887121976,0.18664684691395547,0.2783718305897292,0.1160259824237555,0.08251520120089743,0.3364401388713084,0.1866468469140416,0.2783718305898209,0.11602598242384363,0.08251520120098536
log,0.2,0.9878186459634207,0.023744216080214636,0.3718574392879761,0.3367471240655055,0.18665330621948464,0.27828043185680745,0.11591170316229996,0.08240743469590246,0.3363765642629703,0.18663802683259942,0.2783787482521641,0.11606170466955146,0.08254495598262684,0.3363765642629882,0.18663802683261632,0.2783787482521823,0.11606170466956894,0.08254495598264439
log,0.25,0.9863394804660846,0.02714705013314988,0.3719099629633673,0.3367471240655055,0.1866729539359288,0.2782706079985854,0.11590679123318892,0.08240252276679143,0.3362924108287946,0.18662641863118956,0.2783851762981487,0.11610966015766698,0.08258633408420454,0.3362924108287919,0.1866264186311901,0.2783851762981467,0.1161096601576672,0.08258633408420407
log,0.30000000000000004,0.9844927205551938,0.03142219723838,0.37192120786414257,0.3367520359946165,0.1866631300777067,0.2782706079985854,0.11590679123318892,0.08240743469590246,0.33617902890381707,0.18661130666862577,0.2783900380689927,0.11617487266766895,0.08264475369089977,0.336179028903816,0.18661130666862488,0.2783900380689908,0.11617487266766861,0.08264475369089952
log,0.35000000000000003,0.9821480083945643,0.03686867021112513,0.3719634143315169,0.3367520359946165,0.18666804200681775,0.27826078414036326,0.11591170316229996,0.08240743469590246,0.3360233156474372,0.1865918390380712,0.2783913368779727,0.11626488411079317,0.08272862432572421,0.33602331564743665,0.1865918390380724,0.2783913368779713,0.11626488411079483,0.08272862432572485
log,0.4,0.979116506428312,0.04391135230840474,0.3719975908579859,0.3367520359946165,0.18668277779415088,0.2782411364239191,0.11591170316229996,0.08241234662501351,0.33580497845124047,0.18656707177248746,0.2783854064769373,0.11639126726417706,0.08285127603514557,0.335804978451242,0.18656707177249005,0.27838540647694016,0.11639126726417957,0.08285127603514812
log,0.45,0.9751188374130977,0.05316360211161835,0.37202683106619955,0.3367520359946165,0.18670733743970608,0.278221488707475,0.11591170316229996,0.08240743469590246,0.33549182626909996,0.18653613321940607,0.2783655112593789,0.11657220623408045,0.08303432301803662,0.33549182626909774,0.18653613321940662,0.2783655112593775,0.11657220623408103,0.08303432301803705
log,0.5,0.9697329957206374,0.06552573270173807,0.37204492002944967,0.33676677178194964,0.18669260165237295,0.2782116648492529,0.115916615091411,0.08241234662501351,0.33503144486739633,0.18649868783445003,0.27831916837584525,0.11683701900983844,0.08331367991247983,0.3350314448673938,0.1864986878344489,0.2783191683758431,0.11683701900983594,0.08331367991247832
log,0.55,0.9623066588114946,0.08234249828193008,0.3720486651234066,0.33675694792372757,0.18669751358148398,0.2782116648492529,0.11591170316229996,0.08242217048323558,0.33433604803303857,0.18645614017010853,0.2782228685014018,0.11723432109870689,0.08375062219674166,0.3343360480330405,0.18645614017010875,0.2782228685014022,0.11723432109870693,0.08375062219674155
log,0.6000000000000001,0.9518068526524066,0.10565881406474735,0.3720811157482044,0.3367520359946165,0.1866876897232619,0.2782116648492529,0.115916615091411,0.08243199434145766,0.3332540702143159,0.18641468880517068,0.27803127386427173,0.11784724100680548,0.08445272610942896,0.33325407021431774,0.18641468880517242,0.27803127386427473,0.11784724100680574,0.08445272610942936
log,0.65,0.9365551007583905,0.1386390198641537,0.37209752584041356,0.33673238827817237,0.18672207322703918,0.2781920171328087,0.11592152702052204,0.08243199434145766,0.3315152975293031,0.18639309729282275,0.2776541045753427,0.1188227528488753,0.08561474775366143,0.33151529752930126,0.18639309729282064,0.27765410457534373,0.1188227528488741,0.08561474775366014
