pool,lambda,mean_maxpost,mean_entropy,ari_vs_gmm,hard_P6,hard_P7,hard_P8,soft_P6,soft_P7,soft_P8,deconv_P6,deconv_P7,deconv_P8
linear,0.0,0.9918017274587475,0.021258499611350706,0.2438389369989929,0.39855726661921215,0.2367575825969201,0.36468515078386776,0.3982626834834772,0.23718221858301627,0.3645550979334407,0.39826268348350197,0.2371822185830447,0.36455509793345336
linear,0.05,0.9601683012142981,0.165545291199962,0.24383715615418067,0.39855726661921215,0.23675324224378896,0.3646894911369989,0.39488320580398406,0.24217747512884316,0.36293931906716853,0.3948832058039872,0.24217747512884139,0.3629393190671714
linear,0.1,0.9285348811370131,0.2708315369196886,0.24383547356099988,0.39855726661921215,0.2367575825969201,0.36468515078386776,0.3915037281244391,0.2471727316746558,0.3613235402009151,0.3915037281244333,0.2471727316746547,0.3613235402009119
linear,0.15000000000000002,0.8969014704594503,0.3604167617400488,0.24383379110532893,0.39855726661921215,0.23676192295005122,0.36468081043073663,0.38812425044487925,0.252167988220464,0.3597077613346562,0.3881242504448803,0.25216798822046294,0.35970776133465676
linear,0.2,0.8652680669479721,0.43937423214337434,0.24384772875797905,0.39855726661921215,0.2367575825969201,0.36468515078386776,0.3847447727653194,0.2571632447662704,0.35809198246840995,0.3847447727653176,0.2571632447662713,0.3580919824684111
linear,0.25,0.8336346962491303,0.5101085751308241,0.2438396567265583,0.3985616069723433,0.2367575825969201,0.36468081043073663,0.38136529508577516,0.2621585013120806,0.35647620360215276,0.38136529508577277,0.26215850131207685,0.3564762036021504
linear,0.30000000000000004,0.8020013538283326,0.5740235103087827,0.24384063959065638,0.39855726661921215,0.2367575825969201,0.36468515078386776,0.3779858174062193,0.2671537578578861,0.35486042473589924,0.3779858174062145,0.2671537578578887,0.3548604247358967
linear,0.35000000000000003,0.7703680767671149,0.6320323236681153,0.24387438152690594,0.39855726661921215,0.23674456153752668,0.36469817184326114,0.3746063397266554,0.2721490144037016,0.35324464586964244,0.37460633972666313,0.27214901440369754,0.3532446458696394
linear,0.4,0.7387348757728076,0.6847693594273914,0.24387730825288217,0.398552926266081,0.23674890189065784,0.36469817184326114,0.37122686204709937,0.27714427094950794,0.3516288670033831,0.37122686204710403,0.27714427094951394,0.351628867003382
linear,0.45,0.7071017427655307,0.732693813182442,0.24388538069525745,0.3985485859129499,0.23674890189065784,0.3647025121963923,0.3678473843675564,0.282139527495314,0.3500130881371351,0.3678473843675508,0.282139527495317,0.3500130881371322
linear,0.5,0.6754686545284289,0.7761465883840175,0.24391901521725287,0.3985268841472942,0.23676626330318234,0.36470685254952345,0.3644679066879975,0.2871347840411301,0.3483973092708752,0.3644679066879996,0.28713478404112724,0.3483973092708732
linear,0.55,0.6438356050767448,0.8153839011373635,0.24394271075956117,0.3985225437941631,0.2367575825969201,0.36471987360891683,0.36108842900844057,0.29213004058694236,0.3467815304046258,0.36108842900843263,0.2921300405869434,0.346781530404624
linear,0.6000000000000001,0.6122026964758904,0.8505982222908225,0.24395747036291043,0.3985225437941631,0.23676192295005122,0.3647155332557857,0.3577089513288872,0.2971252971327494,0.3451657515383723,0.3577089513288847,0.29712529713274477,0.3451657515383706
linear,0.65,0.5805699337656678,0.8819317795390816,0.24400867068111354,0.3985138630879008,0.236787965068838,0.36469817184326114,0.3543294736493243,0.3021205536785558,0.3435499726721256,0.35432947364932377,0.302120553678551,0.3435499726721254
linear,0.7000000000000001,0.5489374062403225,0.9094853862758345,0.24406074268404646,0.39850518238163857,0.2368009861282314,0.36469383149013,0.35094999596977433,0.30711581022436935,0.3419341938058616,0.35094999596976323,0.30711581022436724,0.34193419380586976
linear,0.75,0.5173052469309046,0.9333241349972851,0.24409926169375634,0.39848782096911406,0.23684873001267384,0.3646634490182121,0.347570518290216,0.31211106677018163,0.3403184149396128,0.34757051829020075,0.31211106677017747,0.3403184149396219
linear,0.8,0.4856741381281868,0.9534808263928722,0.24423577332173987,0.39848348061598293,0.23682702824701818,0.3646894911369989,0.3441910406106612,0.317106323315983,0.3387026360733523,0.3441910406106642,0.3171063233159841,0.3387026360733518
linear,0.8500000000000001,0.454045310632372,0.9699576102835776,0.24437629728322552,0.39841837531901597,0.23690949495650968,0.3646721297244744,0.3408115629311012,0.3221015798617989,0.3370868572070954,0.34081156293109605,0.32210157986180915,0.3370868572070947
linear,0.9,0.42242743342217437,0.9827260509406021,0.2447157173362881,0.3982013576624594,0.23712217225993507,0.3646764700776055,0.33743208525155166,0.32709683640761594,0.33547107834084006,0.33743208525156815,0.3270968364076113,0.3354710783408205
linear,0.9500000000000001,0.39093627039351325,0.9917256193759445,0.2494767369528585,0.39665619194777685,0.23957447177902394,0.3637693362731992,0.33405260757199307,0.3320920929534143,0.3338552994745882,0.334052607571991,0.3320920929534097,0.3338552994745993
linear,1.0,0.36199517012739524,0.9968604042879522,0.3475816951095791,0.36390822757339536,0.2937160367367489,0.34237573568985574,0.33067312989243886,0.33708734949922925,0.3322395206083386,0.3306731298924539,0.33708734949917635,0.3322395206083698
log,0.0,0.991801727458511,0.021258499611565965,0.2438389369989929,0.39855726661921215,0.2367575825969201,0.36468515078386776,0.3982626834833941,0.23718221858302302,0.3645550979334136,0.3982626834834557,0.23718221858309935,0.3645550979334449
log,0.05,0.9911487378983863,0.023241286512772342,0.24383715615418067,0.39855726661921215,0.23675324224378896,0.3646894911369989,0.3982285492408094,0.2372321021332373,0.36453934862554016,0.39822854924093537,0.23723210213336093,0.36453934862570375
log,0.1,0.9903839978515208,0.025583211419876312,0.24383379110532893,0.39855726661921215,0.23676192295005122,0.36468081043073663,0.39818747976383995,0.2372918101921699,0.364520710043907,0.39818747976387003,0.23729181019221748,0.36452071004391234
log,0.15000000000000002,0.9894791405502351,0.028374760783836647,0.2438396567265583,0.3985616069723433,0.2367575825969201,0.36468081043073663,0.3981374681146524,0.237364061217909,0.3644984706671023,0.398137468114773,0.23736406121802575,0.3644984706672013
log,0.2,0.9883964454086274,0.03173498800684158,0.2438396567265583,0.3985616069723433,0.2367575825969201,0.36468081043073663,0.3980757681744218,0.23745253721488244,0.36447169461059914,0.3980757681744578,0.23745253721491613,0.36447169461062606
log,0.25,0.9870850160563235,0.03582233691027212,0.2438480232137621,0.3985659473254744,0.2367575825969201,0.3646764700776055,0.3979985607185064,0.23756230769375933,0.3644391315877389,0.3979985607185056,0.23756230769376072,0.3644391315877336
log,0.30000000000000004,0.9854753202129694,0.040850280852360185,0.24387438152690594,0.39855726661921215,0.23674456153752668,0.36469817184326114,0.3979004377756528,0.23770048071360264,0.3643990815107492,0.3979004377756535,0.23770048071359912,0.3643990815107474
log,0.35000000000000003,0.9834704501452162,0.047110258682184825,0.24388538069525745,0.3985485859129499,0.23674890189065784,0.3647025121963923,0.3977735874946421,0.23787722682658669,0.3643491856787687,0.39777358749464276,0.23787722682658524,0.3643491856787719
log,0.4,0.9809332344507979,0.055005851738126235,0.24390623397795824,0.3985355648535565,0.2367575825969201,0.36470685254952345,0.3976064718404838,0.2381074326753974,0.3642860954841198,0.3976064718404828,0.23810743267539636,0.3642860954841209
log,0.45,0.9776658513377813,0.06510458512031625,0.24394102847016927,0.3985225437941631,0.23676192295005122,0.3647155332557857,0.39738161978129055,0.238413450927213,0.36420492929148957,0.39738161978129044,0.23841345092721677,0.36420492929149273
log,0.5,0.9733766437519912,0.07821787825446153,0.24395549297668995,0.3985138630879008,0.23676626330318234,0.36471987360891683,0.39707182864932056,0.23882982491936702,0.3640983464313222,0.39707182864931345,0.2388298249193645,0.36409834643132205
log,0.55,0.967625662307522,0.0955268231849491,0.24400867068111354,0.3985138630879008,0.236787965068838,0.36469817184326114,0.3966334053421872,0.23941170519918717,0.3639548894586223,0.39663340534219255,0.2394117051991856,0.36395488945862187
log,0.6000000000000001,0.9597316931404924,0.11878393558363456,0.2440404053149399,0.3985095227347697,0.2368009861282314,0.3646894911369989,0.395993719943781,0.240250453717616,0.3637558263385978,0.3959937199437801,0.24025045371761825,0.36375582633860154
log,0.65,0.948608509701586,0.1506423377869858,0.24408882572554233,0.3984921613222452,0.23682268789388705,0.36468515078386776,0.3950275023663898,0.24150385072183822,0.36346864691177533,0.39502750236638984,0.24150385072183622,0.36346864691177383
log,0.7000000000000001,0.9324677616134233,0.19519620974684115,0.2441570799345129,0.39846611920345837,0.23684873001267384,0.36468515078386776,0.3935104042349306,0.2434572113858627,0.3630323843792045,0.3935104042349321,0.2434572113858633,0.36303238437920476
log,0.75,0.9082580056989623,0.25884022601416473,0.24421525128118188,0.39847045955658955,0.23684873001267384,0.36468081043073663,0.3910268813717606,0.24665185179076562,0.3623212668374738,0.39102688137176284,0.24665185179076415,0.3623212668374729
log,0.8,0.8705912041074017,0.35141468902447587,0.2443867901034198,0.3984010139064914,0.23690949495650968,0.3646894911369989,0.38679332124625176,0.25215822497474,0.3610484537790011,0.386793321246255,0.2521582249747428,0.36104845377900235
log,0.8500000000000001,0.8097957174512883,0.48644926698989255,0.24455613065794263,0.39835761037518014,0.23697460025347664,0.36466778937134325,0.37937668443134676,0.26210829118301715,0.35851502438563754,0.3793766844313428,0.26210829118301565,0.3585150243856416
log,0.9,0.7096440876262079,0.6736483498020603,0.24491409708833303,0.3982273997812462,0.23713519331932845,0.36463740689942536,0.36662686617046436,0.28024183652818413,0.3531312973013535,0.3666268661704588,0.2802418365281854,0.3531312973013558
log,0.9500000000000001,0.5531067113928922,0.8824854360107823,0.24652195591680515,0.3977933644681331,0.23770377957950659,0.36450285595236026,0.34782575605257077,0.30921944095965687,0.34295480298776987,0.34782575605257143,0.30921944095964976,0.34295480298777886
log,1.0,0.36199517012739524,0.9968604042879522,0.3475816951095791,0.36390822757339536,0.2937160367367489,0.34237573568985574,0.33067312989243874,0.33708734949922925,0.3322395206083386,0.33067312989245456,0.33708734949917546,0.3322395206083701
linear_cal,0.5,0.36394637134139596,0.9971633550733812,0.2731521174624812,0.39097032934599557,0.2489279327766107,0.3601017378773937,0.33285583612691655,0.3339297994552563,0.3332143644178191,0.33285583612692243,0.33392979945528417,0.3332143644177934
