threshold,threshold_tag,class_label,n_particles,n_total_pass,fraction_total_pass
0.6,r0p6,P6,54731,206200,0.8949808156391604
0.6,r0p6,P7,144905,206200,0.8949808156391604
0.6,r0p6,P8,6564,206200,0.8949808156391604
0.7,r0p7,P6,44265,182321,0.7913375232208892
0.7,r0p7,P7,132608,182321,0.7913375232208892
0.7,r0p7,P8,5448,182321,0.7913375232208892
0.8,r0p8,P6,31373,149625,0.6494253372454383
0.8,r0p8,P7,113863,149625,0.6494253372454383
0.8,r0p8,P8,4389,149625,0.6494253372454383
0.9,r0p9,P6,13211,81483,0.35366499418392683
0.9,r0p9,P7,65008,81483,0.35366499418392683
0.9,r0p9,P8,3264,81483,0.35366499418392683
