threshold,threshold_tag,n_particles_pass,fraction_total_pass
0.6,r0p6,206200,0.8949808156391604
0.7,r0p7,182321,0.7913375232208892
0.8,r0p8,149625,0.6494253372454383
0.9,r0p9,81483,0.35366499418392683
