class,J1497_mean_maxresp,J1497_N,J1112_mean_maxresp,J1112_N
P6,0.8513753308806905,59995,0.8208377448767257,68559
P7,0.6092233021757858,41258,0.6267237013268242,37999
P8,0.8078865491349642,49656,0.7871365800328357,56654
P9,0.7399056240983202,29085,0.7526391536932905,23599
P10,0.688676625743563,23592,0.6945317688067653,16775
ALL,0.756915635125417,203586,0.756915635125417,203586
