,P6,P7,P8,P9,P10
P6,0.8862571880990082,0.043720310025835485,0.01913492791065922,0.008650720893407784,0.04223685307108926
P7,0.13604634252750983,0.6782684570265161,0.11340830869164768,0.037810848805080226,0.034466042949246205
P8,0.020178830352827453,0.0536692444014822,0.8320847430320606,0.0855687127436765,0.00849846946995328
P9,0.05195117758294654,0.07399002922468627,0.2848203541344336,0.5674746432869177,0.021763795771015986
P10,0.30781620888436756,0.10914716853170567,0.051924381146151236,0.03246863343506273,0.4986436080027128
