,P6,P7,P8,P9,P10
P6,0.5663638425890919,0.21756883756602896,0.009570825186609486,0.021766605813790196,0.1847298888444795
P7,0.36817472698907955,0.3245608085192973,0.042189513667503224,0.0361527504578444,0.22892220036627553
P8,0.00040463634939696133,0.17210097634835275,0.5364042186602621,0.28097425990706415,0.010115908734924033
P9,0.06501547987616099,0.23491655969191272,0.40225024541267085,0.2654232424677188,0.032394472551536664
P10,0.1940763834762276,0.0056118472330475445,0.2690568978955573,0.23320342946219796,0.2980514419329696
