,P6,P7,P8,P9,P10
P6,0.872471043638673,0.014863761454017601,0.0005141077206882995,0.02203102791302507,0.09012005927359604
P7,0.49546752762945484,0.07448569891137878,0.3160105964650855,0.0007657601721925576,0.11327041682188832
P8,0.020319493604509617,0.10470625690581868,0.8256269078787197,0.03593834859636309,0.013408993014588835
P9,0.07923697725605282,0.11556859867938371,0.7321790168745415,0.05282465150403522,0.020190755685986793
P10,0.7280486091598763,0.019984546220848554,0.03705394773812869,0.07814695139084013,0.13676594549030627
