,P6,P7,P8,P9,P10
P6,0.8803,0.00438,0.08706,0.0046,0.02366
P7,0.08066,0.54344,0.34996,0.0056,0.02034
P8,0.15254,0.0234,0.80498,0.00796,0.01112
P9,0.24168,0.03918,0.28532,0.37934,0.05448
P10,0.36582,0.01474,0.0601,0.00688,0.55246
