,P6,P7,P8,P9,P10
P6,0.87048,0.04756,0.01286,0.01668,0.05242
P7,0.06084,0.7673,0.05258,0.05422,0.06506
P8,0.01494,0.05006,0.84436,0.07018,0.02046
P9,0.02696,0.06936,0.10246,0.7535,0.04772
P10,0.09034,0.08604,0.03218,0.05282,0.73862
