uid,gmm_component,gmm_label,max_responsibility
17948224638893191571,0,P6,0.9658568615486112
9481007276932793706,0,P6,0.9304127442946998
14641638750200149927,0,P6,0.9575721522595383
2720823545376461611,0,P6,0.9505722337267134
7103696670733046399,0,P6,0.9576073581561853
17496043200283462916,0,P6,0.9360209689663903
2812303901520190783,0,P6,0.9722479901829607
13659360154756761684,0,P6,0.910195259062552
2912824771294907301,0,P6,0.9183124714944526
15792581521010626416,0,P6,0.9695334798709021
5857710401778084931,0,P6,0.9539247727195478
7393640509003133954,0,P6,0.909698460711147
481865364799449413,0,P6,0.9048948143708164
13105729399264859921,0,P6,0.9584822901292375
3391448775346840011,0,P6,0.9326327226206482
16683339153429192601,0,P6,0.9654104173625888
624679376773309797,0,P6,0.9212734617919242
8504467154458112673,0,P6,0.9538905714879464
3679940925985941107,0,P6,0.9095285183747115
860164262336358675,0,P6,0.956366058856149
5301294352956800324,0,P6,0.9309015215871767
11175905266233836332,0,P6,0.9210037839856625
10756969444968968304,0,P6,0.9048505569590612
15180908016960683754,0,P6,0.9524269299499865
14119361936710714763,0,P6,0.9647611272979897
7313297361925695444,0,P6,0.9120346727538804
16186961912362808667,0,P6,0.9297949140689159
8760629675301721267,3,P9,0.999998421505146
3191928153283223921,0,P6,0.9412442446607243
2291313639997370072,0,P6,0.970658666530566
14357374582519354643,0,P6,0.9342276688917899
922351468019233626,0,P6,0.9498356771235478
9304091672842177825,0,P6,0.9698274448535366
3658178275894647030,0,P6,0.9374351470269879
8955870980819233609,0,P6,0.9221719324510833
15025985444223974013,0,P6,0.9436349162042471
5423012917396241230,0,P6,0.9319306194375863
8304581722949481739,0,P6,0.9291325113713449
4086937687361086228,0,P6,0.9392267996284054
12106991012191847697,0,P6,0.9441964373165205
12802437872894486609,0,P6,0.9329553010428115
12491934542148669322,0,P6,0.9492051075777642
13549257644254390029,0,P6,0.930515030672227
9045016522767529467,0,P6,0.9480941561460915
8483963378443773140,0,P6,0.9465153572159111
12335403568871373781,0,P6,0.9165607250843332
8896939557194242112,0,P6,0.9225338715133513
6065104817076281894,0,P6,0.9573808765374995
