,P6,P7,P8,P9,P10
P6,0.8301661201063905,0.05922079787972384,0.020264347395261006,0.02557359786600566,0.06477513675261903
P7,0.07361624618583346,0.7150110507855016,0.06398646152601623,0.06607807463684717,0.08130816686580145
P8,0.02568722514093602,0.06467266256064585,0.7981949309369578,0.07925748455333392,0.03218769680812644
P9,0.0445273143636416,0.0902167110277674,0.10944463120678932,0.6909751678221523,0.06483617557964944
P10,0.1080639272099585,0.11484773382545516,0.052370379777219755,0.07802301740105927,0.6466949417863073
