class,observed,corrected,corrected_mean_boot,corrected_std_boot,corrected_lo,corrected_hi
P6,0.4644308060903835,0.40079522726925604,0.277892371377867,0.13771964825686195,0.09416230011773939,0.4037145348001381
P7,0.06346898383652494,0.09121911113470345,0.16099583873475928,0.11379059426150558,0.08569897351900266,0.3574574368575492
P8,0.3678536085695932,0.34225059956504034,0.2816935067031528,0.12604965570215984,0.07423057001097362,0.38232872848924687
P9,0.03197104116390909,0.0691402676711732,0.08899762974580279,0.07890773755417158,0.062263478135658794,0.3833666563911406
P10,0.07227556033958923,0.09659479435982699,0.1904206534384182,0.13095615162265584,0.09299144420586845,0.38948472662040584
