,P6,P7,P8
P6,0.005441855280039054,0.007200485323149328,0.0031623198235894274
P7,0.007005144934657354,0.023709403666524864,0.018061619528713362
P8,0.030558860508133407,0.017936252860245545,0.04754036659046242
