,P6,P7,P8,P9,P10,P11,P12,P13,P14
r=0,0.16021953281215326,0.12880910625917044,0.1021202964192441,0.4413817227997412,0.08559084342873817,0.03671189735633917,0.018556187142000562,0.01667196610208462,0.009938447680528498
r=1,0.1528864559422507,0.5687027490905396,0.06209137904808717,0.0830200947277359,0.05769729331551827,0.02880586670570189,0.018075255277223257,0.01878245821241344,0.009938447680529766
r=2,0.15288269109675548,0.5517088440887457,0.06210215718954691,0.082997299962707,0.05770775869907608,0.04587021009221884,0.018018939620191878,0.018773651570226,0.009938447680531993
r=3,0.17555926897861354,0.44956707743856616,0.07262876862336712,0.11549674884804095,0.11123813651456296,0.02872145841993871,0.018070812582675927,0.018779280913706172,0.009938447680528465
