,weight_mean
P6,0.18464004747131346
P7,0.17756646860146988
P8,0.10285053236827725
P9,0.25099319948408855
P10,0.08396478601150924
P11,0.11820518692459317
P12,0.0369793725330861
P13,0.027546581481079722
P14,0.017253825124582615
