,P6,P7,P8,P9,P10
P6,0.8399659998104462,0.05580359575513569,0.019095039087171032,0.024097931274370654,0.06103743407287645
P7,0.0661366403329505,0.7439666838555553,0.05748526733408308,0.05936436700560816,0.07304704147180296
P8,0.023921606116527997,0.06022736795409747,0.8120660621005903,0.0738096978894844,0.029975265939299847
P9,0.03977687126726826,0.08059184686957081,0.09776841627710682,0.7239438051991658,0.05791906038688832
P10,0.09488576865879789,0.10084230495877348,0.04598392699961704,0.06850828181354521,0.6897797175692664
