,P6,P7,P8,P9,P10
P6,0.75018,0.0162,0.08394,0.04154,0.10814
P7,0.04432,0.69654,0.19912,0.02282,0.0372
P8,0.1144,0.1027,0.6888,0.05674,0.03736
P9,0.1357,0.07134,0.17534,0.52852,0.0891
P10,0.19718,0.02992,0.0379,0.02366,0.71134
