,P6,P7,P8,P9,P10
P6,0.7699374999999999,0.0323025,0.09407750000000001,0.1611974999999999,0.11178500000000001
P7,0.1159075,0.7037950000000001,0.2332575,0.18375749999999996,0.05543499999999999
P8,0.13136499999999998,0.17723499999999998,0.70832,0.17248249999999998,0.05306999999999999
P9,0.2565699999999998,0.1931,0.2049025,0.68475,0.09594499999999999
P10,0.2059425,0.033354999999999996,0.05930999999999999,0.07408999999999998,0.72445
