,ARI,AMI,NMI,V_measure,homogeneity,completeness
GMM_vs_J1442,0.3475816951095791,0.4499707198799558,0.4499759262205887,0.4499759262205887,0.558002880711324,0.37699191509290264
GMM_vs_J1069w,0.2438389369989929,0.3144387084887425,0.3144452659248972,0.3144452659248972,0.3858799441273116,0.2653274479352021
J1442_vs_J1069w,0.5608675817001365,0.4866633151628412,0.4866674217171,0.48666742171710003,0.4824272837261182,0.4909827552474974
