class,J1442_mean_maxresp,J1442_N,J1069_mean_maxresp,J1069_N
P6,0.7369408147920845,83843,0.7570701871188921,91826
P7,0.856424246709018,67671,0.8473514830818675,54548
P8,0.8577085663174217,78882,0.8528733588867251,84022
ALL,0.8133829626465283,230396,0.8133829626465283,230396
