class,observed_csparc_hard,corrected_soft,accuracy_soft,corrected_multi,accuracy_multi,corrected_pair,accuracy_pair,corrected_mc.g,accuracy_mc.g,corrected_eq.g,accuracy_eq.g
P6,0.36390822757339536,0.33067312989245584,0.3997521584426261,0.3642090073121883,0.90582,0.3647468087470197,0.8964248994665224,0.11077862613900946,0.78144,0.32856809618619504,0.87228
P7,0.2937160367367489,0.3370873494991777,0.3084794673950632,0.28998323594759184,0.83828,0.28525379642938353,0.8369866316590328,0.0,0.90232,0.14149677826586632,0.69418
P8,0.34237573568985574,0.33223952060836653,0.37871276254069675,0.3458077567402198,0.89796,0.3499993948235968,0.8821058998813939,0.8892213738609905,0.2985,0.5299351255479386,0.58972
