,3DVA_c0,3DVA_c1,3DVA_c2
P6,0.07684887459807074,0.8295207472056346,0.09363037819629459
P7,0.5355071677842073,0.3406148918930989,0.12387794032269384
P8,0.5502816732590196,0.32877861680450676,0.1209397099364737
