freq_per_A,resolution_A,P8_hetero_vs_P8_nu09
0.00000,,1.0000
0.00377,265.60,0.9937
0.00753,132.80,0.9785
0.01130,88.53,0.9711
0.01506,66.40,0.9499
0.01883,53.12,0.9432
0.02259,44.27,0.9362
0.02636,37.94,0.8387
0.03012,33.20,0.8179
0.03389,29.51,0.7956
0.03765,26.56,0.7001
0.04142,24.15,0.6035
0.04518,22.13,0.6256
0.04895,20.43,0.5965
0.05271,18.97,0.4955
0.05648,17.71,0.4015
0.06024,16.60,0.3356
0.06401,15.62,0.2805
0.06777,14.76,0.3033
0.07154,13.98,0.2500
0.07530,13.28,0.2132
0.07907,12.65,0.2059
0.08283,12.07,0.2153
0.08660,11.55,0.1273
0.09036,11.07,-0.0437
0.09413,10.62,0.0408
0.09789,10.22,-0.0595
0.10166,9.84,0.0458
0.10542,9.49,-0.0063
0.10919,9.16,-0.0301
0.11295,8.85,0.0424
0.11672,8.57,-0.0198
0.12048,8.30,-0.0047
0.12425,8.05,0.0174
0.12801,7.81,-0.0050
0.13178,7.59,-0.0014
0.13554,7.38,-0.0131
0.13931,7.18,0.0181
0.14307,6.99,-0.0056
0.14684,6.81,0.0038
