,weight_mean,weight_std
P6,0.38469629789534254,0.02017060550239894
P7,0.09810949772747657,0.01632748101773002
P8,0.3306462340424898,0.06653740276304163
P9,0.0866109200904867,0.05245216091940643
P10,0.09993705024420435,0.0032024317245115757
