uid,basin,cryosparc_hard_class
10926826680851292251,1,P6
9188024138650737542,1,P6
2022205159288809797,1,P6
15845304328547575092,1,P6
14099979672371792574,1,P6
16642627585657559897,1,P6
10121990607043361019,1,P6
11513379288216230683,1,P6
5787566826572720546,1,P6
8395838945781322415,1,P6
16474816341091245520,1,P6
8870897593055959546,1,P6
10543113640324622511,1,P6
13652627987635576935,1,P6
6694559367492066221,1,P6
885569660354110414,1,P6
15764903145257752620,1,P6
11769143136628058728,1,P6
12610980477094510721,1,P6
2135721215623466618,1,P6
8579489271527754468,1,P6
6093173906048460654,1,P6
15805192660738097940,1,P6
17852439167181919591,1,P6
7442631019602144265,1,P6
12806957373896180839,1,P6
12404142865694283127,1,P6
681679683098103368,1,P6
12627249215107630411,1,P6
11757461671991182104,1,P6
17187631524712014486,1,P7
7288076047537878956,1,P6
13323167657764488330,1,P6
73899231040984770,1,P6
559031560867191745,1,P6
14908009132805641499,1,P6
6402983538543812276,1,P6
13665868083049163523,1,P6
11637934143927573064,1,P6
17317651662602265175,1,P6
976393986582134508,1,P6
9969883358175126687,1,P6
9231874173935122789,1,P6
7891066926069966934,1,P6
4001459382878686316,1,P6
18291536015838649648,1,P6
16360220023093931913,1,P6
743483883406832868,1,P6
8590740145048891977,1,P6
136715235334047307,1,P6
16672640131654759334,1,P6
14751840155803330066,1,P6
345568399406081556,1,P6
14167647845467961014,1,P6
9655083667254257364,1,P6
12592977628463820377,1,P6
10572348599843645135,1,P6
16448760354149091052,1,P6
449733096608116591,1,P6
8651930650672751670,1,P6
2150096312697385118,1,P6
17197626473724170106,1,P6
6152686855474341692,1,P6
10366381844837026464,1,P6
14223475950638422437,1,P6
385687859268275342,1,P6
4427823259928286556,1,P6
13233687623277807548,1,P6
17616458736388801173,1,P6
7140492470653241174,1,P6
11616048232055506533,1,P6
8430018375134769183,1,P6
9389914233031546212,1,P6
530016651537287705,1,P6
3518063961324993209,1,P6
12257130602805951144,1,P6
3836335181686134785,1,P6
9057197301025780750,1,P6
2568417231955390796,1,P6
6736297392598324318,1,P6
17376344472234616966,1,P6
2055818126555903119,1,P6
13037093741103718147,1,P6
501012367231392820,1,P6
6617554761562853808,1,P8
9842846435868972604,1,P6
16028844027316335631,1,P6
16459639854399294985,1,P6
1599193485105633572,1,P6
2387745997754861899,1,P6
2689595895545332197,1,P6
15362743116120971554,1,P6
3035944280204859125,1,P6
15091763646953896851,1,P6
1373254651556129800,1,P6
9248845290388441053,1,P6
747041178049351480,1,P6
17436445532718641447,1,P6
16433879137088939735,1,P6
6332167252042499847,1,P6
13246437640343830691,1,P6
17969497820586127288,1,P6
11757084017611295084,1,P6
17675752324496998326,1,P6
5613332695187011737,1,P11
2939230081134817528,1,P6
5245806079140784691,1,P6
1745576499309661766,1,P6
14991215741420476239,1,P6
433343903812895929,1,P6
13574862898526146759,1,P6
13686009185129110149,1,P6
1841457262312304277,1,P9
11221991245760316700,1,P6
8590819077623176719,1,P8
14864908668866829286,1,P6
7724064790632839966,1,P6
2417506872730371766,1,P6
5098178645585285943,1,P6
6453542554899718548,1,P6
16033919008530152732,1,P6
54961713905843529,1,P6
1387085997942243734,1,P6
938960714645598253,1,P6
880876615188539041,1,P6
2167926813969999187,1,P6
4930256297059604703,1,P6
6203297362781975684,1,P6
7800229456658287608,1,P6
12863365431528022298,1,P6
2552306670323335034,1,P6
17531119502077256334,1,P6
17067740700735345037,1,P6
18365861869275295402,1,P6
17945457795363957703,1,P6
