freq_per_A,resolution_A,J1442_P6_vs_J1442_P7,J1442_P6_vs_J1442_P8,J1442_P7_vs_J1442_P8
0.18825,5.31,0.2490,-0.0064,-0.0153
0.19202,5.21,0.2675,0.0038,-0.0329
0.19578,5.11,0.2680,0.0068,-0.0207
0.19955,5.01,0.2625,0.0182,0.0093
0.20331,4.92,0.2522,0.0251,0.0080
0.20708,4.83,0.2297,0.0131,-0.0108
0.21084,4.74,0.2105,-0.0148,-0.0304
0.21461,4.66,0.1942,-0.0276,-0.0299
0.21837,4.58,0.2203,-0.0213,-0.0334
0.22214,4.50,0.2314,0.0018,-0.0180
0.22590,4.43,0.2069,0.0154,0.0062
0.22967,4.35,0.1858,0.0184,0.0059
0.23343,4.28,0.1714,0.0068,0.0156
0.23720,4.22,0.1520,0.0056,0.0151
0.24096,4.15,0.1262,0.0122,0.0214
0.24473,4.09,0.1191,0.0055,0.0126
0.24849,4.02,0.1037,0.0014,0.0089
0.25226,3.96,0.0771,0.0024,0.0140
0.25602,3.91,0.0617,0.0067,0.0113
0.25979,3.85,0.0598,-0.0062,0.0121
0.26355,3.79,0.0541,-0.0027,-0.0002
0.26732,3.74,0.0262,-0.0015,-0.0096
0.27108,3.69,-0.0045,0.0176,0.0079
0.27485,3.64,-0.0016,0.0153,-0.0106
0.27861,3.59,0.0027,-0.0152,0.0080
0.28238,3.54,-0.0006,-0.0103,-0.0025
0.28614,3.49,0.0041,-0.0027,-0.0077
0.28991,3.45,-0.0022,0.0025,0.0002
0.29367,3.41,0.0041,-0.0030,0.0039
0.29744,3.36,-0.0003,-0.0056,0.0058
0.30120,3.32,-0.0020,-0.0094,-0.0009
0.30497,3.28,0.0059,0.0130,0.0084
0.30873,3.24,0.0032,0.0049,-0.0008
0.31250,3.20,0.0111,-0.0006,0.0127
0.31627,3.16,-0.0060,0.0063,-0.0043
0.32003,3.12,0.0013,0.0016,-0.0076
0.32380,3.09,-0.0029,0.0015,0.0015
0.32756,3.05,0.0029,-0.0007,0.0017
0.33133,3.02,0.0057,-0.0027,-0.0026
0.33509,2.98,0.0069,0.0027,0.0013
0.33886,2.95,0.0101,0.0007,0.0005
0.34262,2.92,0.0081,-0.0014,0.0044
0.34639,2.89,0.0110,0.0010,0.0113
0.35015,2.86,0.0137,0.0088,0.0063
0.35392,2.83,0.0122,0.0017,0.0084
0.35768,2.80,0.0124,0.0072,0.0119
0.36145,2.77,0.0157,0.0076,0.0120
