label,core_norm_factor,integrated_density_mask,volume_vox_at_core_half,volume_A3_at_core_half
P6,0.02475902810692787,16733.609375,9698,354892.23591335263
P7,0.019999144598841667,16926.36328125,14672,536912.6505795742
P8,0.021236568689346313,17969.0546875,13298,486631.9811482536
P9,0.018583273515105247,15988.564453125,13955,510674.484653623
P10,0.020012209191918373,14677.6865234375,11750,429983.8906972462
