reference,clustering,ARI,AMI,NMI,Vmeasure
cryosparc_class,kmeans,0.3874515949398565,0.3495067919241157,0.3495119462839116,0.3495119462839116
cryosparc_class,gmm,0.537895639134577,0.4638202808960528,0.4638245711592303,0.46382457115923026
existing_gmm,kmeans,0.1631363165526302,0.19395516833573284,0.1939627908277486,0.19396279082774856
existing_gmm,gmm,0.23230976071167786,0.30082725989541304,0.30083394933602164,0.3008339493360216
