class,Basin1,Basin2,Basin3
P6,0.4375,0.2449,0.3175
P7,0.3996,0.2607,0.3397
P8,0.3771,0.2466,0.3763
P9,0.3847,0.2480,0.3673
P10,0.4202,0.2515,0.3283
