,P6,P7,P8
P6,2.4944382578490203e-05,2.494438257849294e-05,0.0
P7,8.595864638818415e-05,9.551032521261884e-05,7.571877794400365e-05
P8,0.0,1.795054935711503e-05,1.7950549357113052e-05
