class,cryosparc_soft,cryosparc_hard,latentgmm_soft,soft_lo,soft_hi,latentgmm_corrected,corr_lo,corr_hi
P6,0.3307,0.3639,0.4022,0.4004,0.4043,0.3646,0.3628,0.3667
P7,0.3371,0.2937,0.2345,0.2329,0.2362,0.2927,0.2909,0.2946
P8,0.3322,0.3424,0.3632,0.3612,0.3651,0.3427,0.3407,0.3445
