model,class_,hard_argmax,soft_weighted,hard_boot_std,soft_boot_std,soft_lo,soft_hi
M1_cryosparc_post,P6,0.36390822757339536,0.3306731298924397,0.0009623161749309938,6.492281046046931e-05,0.33054537888217245,0.33080052763607076
M1_cryosparc_post,P7,0.2937160367367489,0.3370873494992266,0.0009820914871813444,3.659482820049054e-05,0.33701810725318493,0.3371559609887946
M1_cryosparc_post,P8,0.34237573568985574,0.3322395206083337,0.0009447265486109638,6.303161995267582e-05,0.3321150345040019,0.33235113688654955
M2_hetero_gmm,P6,0.2834684629941492,0.27510843507052374,0.0008388751619839343,0.0006643336548226285,0.2737714704411038,0.2763797702096853
M2_hetero_gmm,P7,0.6803199708328269,0.6302541400544767,0.0008727672795526999,0.0006417867199103886,0.6290655262645248,0.6313805608477551
M2_hetero_gmm,P8,0.03621156617302384,0.09463742487498544,0.00038553507417630415,0.00032832354736567714,0.0939781696343841,0.09518179860620489
M3_3dva_gmm,P6,0.4060270143578882,0.3381881854333634,0.0009640522711123189,0.0005268396297877882,0.33711186605228555,0.33910419591620256
M3_3dva_gmm,P7,0.4787756731887706,0.3891924201339686,0.0009143324567796991,0.0005614334374307221,0.3879453094928076,0.3903664661306733
M3_3dva_gmm,P8,0.11519731245334121,0.272619394432665,0.000678499599770194,0.0003169959711459746,0.27201926115128267,0.27321032507368315
