class,cryosparc_soft,cryosparc_hard,latentgmm_soft,soft_lo,soft_hi,latentgmm_corrected,corr_lo,corr_hi
P6,0.1995,0.2870,0.3801,0.3782,0.3819,0.2259,0.2233,0.2285
P7,0.2034,0.2097,0.2252,0.2236,0.2267,0.1724,0.1704,0.1746
P8,0.2001,0.2318,0.1477,0.1464,0.1488,0.3126,0.3090,0.3161
P9,0.1993,0.1479,0.2075,0.2061,0.2088,0.0463,0.0434,0.0491
P10,0.1977,0.1236,0.0395,0.0390,0.0401,0.2428,0.2385,0.2470
