uid,ensemble_class,gmm_class,gmm_max_resp
1368917991669653577,P6,P6,0.9993012543084318
16659594954410503041,P6,P6,0.9999581528834544
1917116396825394719,P6,P6,0.9942399450966241
17948224638893191571,P6,P6,0.9904996450512823
9481007276932793706,P6,P6,0.9909008566455599
14641638750200149927,P6,P6,0.9946953314162612
2720823545376461611,P6,P6,0.99953578676335
7103696670733046399,P6,P6,0.9984323540857675
17496043200283462916,P6,P6,0.9996577119852285
8551597897195536528,P6,P6,0.9941055510019207
3130040797579250608,P6,P6,0.9999051766045116
12401648706677266493,P6,P6,0.9997831776788869
2812303901520190783,P6,P6,0.999961126086654
12199804243266152910,P6,P6,0.9983098261366786
7636360398813166674,P6,P6,0.9960219848021757
13659360154756761684,P6,P6,0.9996862242181129
12054601812289332025,P6,P6,0.9791414178693488
2912824771294907301,P6,P6,0.9917243787182968
15792581521010626416,P6,P6,0.9997396130363964
12964961303066425250,P6,P6,0.9994665142478529
5857710401778084931,P6,P6,0.999373513667439
7393640509003133954,P6,P6,0.9999823834550455
481865364799449413,P6,P6,0.9996926746835189
2412485391025631369,P6,P6,0.9997575319378923
13105729399264859921,P6,P6,0.9998832825754963
16358282297474920384,P6,P6,0.9249858043738312
3391448775346840011,P6,P6,0.9992711209331985
7806920224165762150,P6,P6,0.9530215400232044
2333322181919371705,P6,P6,0.9766052362959914
8082090298500064164,P6,P6,0.9999052761747844
15179966799007732237,P6,P6,0.9995323560546203
7416352144423664784,P6,P6,0.9995284183397397
16683339153429192601,P6,P6,0.9998145918798735
7528850601061119907,P6,P6,0.9421642699012815
14515371522519871423,P6,P6,0.9999522977861639
13003220728815870788,P6,P6,0.9994478647891689
624679376773309797,P6,P6,0.9995595222815138
8504467154458112673,P6,P6,0.9741057059016345
3679940925985941107,P6,P6,0.9999545080457956
18289351256070909769,P6,P6,0.9997446372614394
8034456893591758157,P6,P6,0.9950135025890422
860164262336358675,P6,P6,0.9928527854053127
5301294352956800324,P6,P6,0.9994414907458403
16807694763619361878,P6,P6,0.9999307918897524
11175905266233836332,P6,P6,0.9974326108291763
10756969444968968304,P6,P6,0.9943932269487386
15180908016960683754,P6,P6,0.9999478430049759
7870419857323494485,P6,P6,0.9811856588527594
14119361936710714763,P6,P6,0.9952027823135392
7313297361925695444,P6,P6,0.9995509577195051
16186961912362808667,P6,P6,0.9477378407233511
5331499054543468349,P6,P6,0.9995247703084521
8760629675301721267,P6,P6,0.9999964641552818
4188733030627403522,P6,P6,0.938023450168126
8507133859028641293,P6,P6,0.9984796930075099
3191928153283223921,P6,P6,0.9984890044057976
2291313639997370072,P6,P6,0.9997482964299628
18346638621583451893,P6,P6,0.9991782051248024
14357374582519354643,P6,P6,0.9955444260702708
10964821217025600072,P6,P6,0.999962721462238
8523337110157533018,P6,P6,0.9773720739678086
15924497568931162666,P6,P6,0.9938693676998248
16642115611572374513,P6,P6,0.9999532524077673
922351468019233626,P6,P6,0.9918242936730516
1646239567323660809,P6,P6,0.9896625959709555
9304091672842177825,P6,P6,0.9998931657414387
10055159208074003556,P6,P6,0.9999665335420501
9455223378784199503,P6,P6,0.8994457579888805
3658178275894647030,P6,P6,0.988149975679109
12760070159895850845,P6,P6,0.9991986224624883
8955870980819233609,P6,P6,0.999997463619292
15025985444223974013,P6,P6,0.9850304924304863
15064504374004745913,P6,P6,0.9247303303610845
5423012917396241230,P6,P6,0.9999947619107243
10117331370688186462,P6,P6,0.999982292262261
8304581722949481739,P6,P6,0.9644690695592242
4086937687361086228,P6,P6,0.9978159784840027
12106991012191847697,P6,P6,0.9838304610795545
12802437872894486609,P6,P6,0.9994210393144582
14520368188930908242,P6,P6,0.9999987517473304
15332314159888472447,P6,P6,0.9999181101038116
12491934542148669322,P6,P6,0.9999576079420843
13549257644254390029,P6,P6,0.9987797499668466
9045016522767529467,P6,P6,0.9881055491421137
5514251419741177531,P6,P6,0.9773913453461852
6937127828170136992,P6,P6,0.9974666849368076
8483963378443773140,P6,P6,0.9999937681157938
12335403568871373781,P6,P6,0.9996818427348365
8896939557194242112,P6,P6,0.9943764352895879
6065104817076281894,P6,P6,0.9994367304276054
16761461462228972865,P6,P6,0.9997818701569171
12749692064982599044,P6,P6,0.9999063664939918
744058291228822314,P7,P7,0.7188363941172645
10163054968566706727,P6,P6,0.9999972521168901
9697623972355990210,P6,P6,0.9974208772074202
3710487425607121759,P6,P6,0.9996333210456413
8524681790913585747,P6,P6,0.9999505237508708
16473932414955451636,P6,P6,0.9973220810931633
3572981642351637141,P6,P6,0.9998838079805658
2086640779580292895,P6,P6,0.7611299100815727
17155223146388927398,P6,P6,0.9868578061158514
8362809314896543545,P6,P6,0.9995230761526619
2030373979995109360,P6,P6,0.9994733024572341
12541998981827654870,P6,P6,0.9999724927895552
3926801388814210242,P6,P6,0.9954791049995984
1532245776065717163,P6,P6,0.9989189127798804
10270599737561290081,P6,P6,0.9996502263263752
9086445124525247171,P6,P6,0.9999022080973544
15576199954780364273,P6,P6,0.9999796942587363
15122489749557468924,P6,P6,0.9999789483748011
4731102631573983287,P6,P6,0.9995336176574452
4819370984177407976,P6,P6,0.9965836017085993
17792048736487666372,P6,P6,0.9950313155656177
14438840268623146272,P6,P6,0.9998637696609276
9705819856398342865,P6,P6,0.9852647206041123
11628731717852627910,P6,P6,0.9999220669386196
1379600470733967636,P6,P6,0.9999225000841385
11342089671007554058,P6,P6,0.9882319086046547
4683371220374081490,P6,P6,0.9976004638891993
520199346782922651,P6,P6,0.9472993406218825
14029098637883131766,P7,P7,0.4679192890945333
13308398199312290713,P6,P6,0.9999895055926191
5866035988404729524,P6,P6,0.9999201405951403
2888708020887266257,P6,P6,0.9999727979396555
13567313368407211842,P6,P6,0.9996964627989511
8072912805019421841,P6,P6,0.9998154492380086
11989645629285372100,P6,P6,0.9989438117914126
11558118741965305127,P6,P6,0.9888074473639515
3907919182220894422,P6,P6,0.9998421590934362
5857995671733843170,P6,P6,0.9998372628557871
14396556690201457571,P6,P6,0.9997376316081347
5903827030161037629,P6,P6,0.9980833321441495
1219994394349216580,P6,P6,0.8163321862805465
1462231996820572656,P6,P6,0.998038502146138
1642267432120535196,P6,P6,0.9960488190013586
2167967917308745990,P6,P6,0.9925690543671045
11488718301667401965,P6,P6,0.9996733153272095
3023862163155372010,P6,P6,0.9999455466487122
5572907141476497693,P6,P6,0.9996190631473806
1216251719333251621,P6,P6,0.8721832609987457
16044681700060861976,P6,P6,0.968804259534904
2875135399201437252,P6,P6,0.9999526840721449
13288449534683584194,P6,P6,0.9955770909220151
2869755513154024791,P6,P6,0.9989304586157669
8211781211120416754,P6,P6,0.9995569710171986
9502686284027115967,P6,P6,0.9928564112895147
15270998200873361253,P6,P6,0.9988946624630106
3119460690513123993,P6,P6,0.999847470915297
949345506502648777,P6,P6,0.9999301086520641
3169455496343352028,P6,P6,0.9980183318386094
2726572365589066022,P6,P6,0.9409276090922989
17150182119632601699,P6,P6,0.9973663650624978
15750314949948404449,P6,P6,0.9667708177430336
3942544083730138331,P6,P6,0.99978065290445
7330176005321887464,P6,P6,0.9991619774134278
10641096994878940580,P6,P6,0.9997579447459315
7882040442427038406,P6,P6,0.9756357226416124
15235318814961793835,P6,P6,0.9989813152670548
10036079560711526618,P6,P6,0.9971530474049388
1441234607309348975,P6,P6,0.9996194463687764
5999497877464871480,P6,P6,0.9906246166490278
1933834993180547966,P6,P6,0.9967146916555185
2423460879178450448,P6,P6,0.9921959332251838
5615205761732650966,P6,P6,0.9947321640055722
10213973854380714596,P6,P6,0.9998002063382948
11951778425800060091,P6,P6,0.9999302509382103
6043202768933484564,P6,P6,0.998563230520026
15976013264621946514,P6,P6,0.9982311595901383
2073830262352702165,P6,P6,0.9854454133845133
10122217132273318077,P6,P6,0.9999253850804453
7961869763831892520,P6,P6,0.9570938281191933
9851269107871989142,P6,P6,0.9999684291137348
16597549625482038892,P6,P6,0.9970257650155434
2337423417842925720,P6,P6,0.9962889989940708
10155424301549144336,P6,P6,0.9997159024218084
18056730244579138663,P6,P6,0.9222015168005068
5963449317889127595,P6,P6,0.9999597963023285
7631785254214031551,P6,P6,0.9999307446223534
7773966756653748557,P6,P6,0.9953407398716856
3381668066297216179,P6,P6,0.9935307130915968
6908625071774812779,P6,P6,0.9999706143601891
2521891234408831939,P6,P6,0.999849167592161
16005908622445985180,P6,P6,0.910527144847447
6971723088065252404,P6,P6,0.9948546406399743
4145266934106690519,P6,P6,0.9958608793321659
15776481908117476868,P6,P6,0.9999286661468076
