pair,cross_correlation,diff_rms,diff_map
J1069_P6 vs J1069_P7,0.6379,0.01381,diff_J1069_P7_minus_J1069_P6.mrc
J1069_P6 vs J1069_P8,0.3946,0.01848,diff_J1069_P8_minus_J1069_P6.mrc
J1069_P7 vs J1069_P8,0.3941,0.01791,diff_J1069_P8_minus_J1069_P7.mrc
