beta,class,n_particles,effective_n,mean_weight,cs,passthrough
1.0,P6,68559,15056.482419286267,0.21961350689604964,hardJ1112_w1497_b1_P6.cs,hardJ1112_w1497_b1_P6_passthrough.cs
1.0,P7,37999,8178.792729042947,0.21523705173933386,hardJ1112_w1497_b1_P7.cs,hardJ1112_w1497_b1_P7_passthrough.cs
1.0,P8,56654,12532.377184250883,0.2212090440966372,hardJ1112_w1497_b1_P8.cs,hardJ1112_w1497_b1_P8_passthrough.cs
1.0,P9,23599,5163.519697443417,0.21880247881026385,hardJ1112_w1497_b1_P9.cs,hardJ1112_w1497_b1_P9_passthrough.cs
1.0,P10,16775,3636.1958896936912,0.21676279521273867,hardJ1112_w1497_b1_P10.cs,hardJ1112_w1497_b1_P10_passthrough.cs
