conf_bin,n,frac_of_total,cross_model_agreement,mean_latent_dist
"[0.33,0.50)",3476,0.015087067483810482,0.43354430379746833,1.388178832925538
"[0.50,0.70)",44599,0.19357540929530026,0.5023206798358708,1.3672374938242982
"[0.70,0.90)",100838,0.43767252903696247,0.6360201511335013,1.4120527487615893
"[0.90,1.00)",81483,0.35366499418392683,0.6268424088460169,1.3775500930596112
