model,test_loglik_per_particle
GMM_K1,-4.258760819715745
GMM_K2,-4.250075475735049
GMM_K3,-4.244317261294744
GMM_K4,-4.243330691870703
GMM_K5,-4.24357311265019
GMM_K6,-4.242705551073378
KDE_bw0.3,-4.249434506451472
