threshold,threshold_tag,n_particles_pass,fraction_total_pass
0.6,r0p6,177669,0.771146200454869
0.7,r0p7,146553,0.6360917724266046
0.8,r0p8,110546,0.47980867723397974
0.9,r0p9,57478,0.2494748172711332
