freq_per_A,resolution_A,P6_vs_P7,P6_vs_P8,P6_vs_P9,P6_vs_P10,P7_vs_P8,P7_vs_P9,P7_vs_P10,P8_vs_P9,P8_vs_P10,P9_vs_P10
0.00000,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.00377,265.60,0.9923,0.9854,0.9902,0.9950,0.9926,0.9970,0.9983,0.9904,0.9911,0.9969
0.00753,132.80,0.9829,0.9615,0.9832,0.9950,0.9772,0.9903,0.9739,0.9702,0.9488,0.9784
0.01130,88.53,0.7933,0.6969,0.8908,0.9879,0.9026,0.9108,0.7860,0.8937,0.6831,0.8918
0.01506,66.40,0.7864,0.7260,0.8548,0.9842,0.8781,0.8544,0.7620,0.8317,0.7053,0.8429
0.01883,53.12,0.7814,0.7090,0.8191,0.9765,0.8211,0.8587,0.7610,0.8873,0.7158,0.8056
0.02259,44.27,0.7112,0.5558,0.7925,0.9742,0.7203,0.7826,0.7439,0.8215,0.5848,0.7952
0.02636,37.94,0.7372,0.4615,0.6417,0.9627,0.5815,0.5791,0.7660,0.5849,0.4617,0.6369
0.03012,33.20,0.7647,0.5570,0.6196,0.9500,0.5501,0.5037,0.7738,0.5751,0.5264,0.5894
0.03389,29.51,0.6535,0.5270,0.5933,0.9403,0.5025,0.4469,0.6774,0.5638,0.5072,0.5637
0.03765,26.56,0.5954,0.4409,0.5573,0.9224,0.4521,0.4851,0.6354,0.5067,0.4318,0.5530
0.04142,24.15,0.5190,0.3058,0.4351,0.8824,0.3465,0.3589,0.5994,0.3986,0.3227,0.4551
0.04518,22.13,0.4627,0.2386,0.3451,0.8361,0.2821,0.2663,0.5155,0.2801,0.2854,0.3742
0.04895,20.43,0.4513,0.2307,0.3475,0.8097,0.2543,0.2816,0.5148,0.2724,0.2507,0.3475
0.05271,18.97,0.4118,0.1839,0.2938,0.7755,0.2152,0.2310,0.4850,0.2317,0.1688,0.3165
0.05648,17.71,0.4265,0.1271,0.2334,0.7576,0.1379,0.1959,0.4991,0.2388,0.1294,0.2960
0.06024,16.60,0.4919,0.0885,0.2274,0.7624,0.0477,0.2159,0.5342,0.2718,0.1006,0.2739
0.06401,15.62,0.4583,0.0350,0.2275,0.7667,-0.0298,0.2642,0.5238,0.1789,0.0196,0.2645
0.06777,14.76,0.4289,0.0838,0.2067,0.7584,0.0600,0.2455,0.4932,0.1591,0.0643,0.2350
0.07154,13.98,0.4224,0.0980,0.2115,0.7538,0.1072,0.2110,0.5109,0.1506,0.1305,0.2469
0.07530,13.28,0.4337,0.1191,0.1699,0.7390,0.1632,0.2419,0.5278,0.1802,0.1678,0.2504
0.07907,12.65,0.4014,0.1282,0.1653,0.7236,0.1761,0.2060,0.4924,0.1688,0.1689,0.2510
0.08283,12.07,0.4037,0.0935,0.1743,0.7186,0.1303,0.2125,0.4650,0.1272,0.1272,0.2260
0.08660,11.55,0.3931,0.0630,0.1110,0.7197,0.0588,0.1630,0.4438,0.0848,0.0866,0.1394
0.09036,11.07,0.3708,0.0606,-0.0146,0.6796,0.0524,-0.0237,0.4412,0.0094,0.1002,0.0010
0.09413,10.62,0.3358,0.0788,0.0173,0.6453,0.0609,-0.0006,0.4170,0.0031,0.0974,0.0152
0.09789,10.22,0.2941,0.0671,-0.0219,0.6112,0.0353,0.0266,0.3517,0.0174,0.0784,0.0208
0.10166,9.84,0.2402,0.0920,0.0477,0.5666,0.0208,0.0327,0.2916,0.0062,0.0714,0.0398
0.10542,9.49,0.1879,0.1191,0.0606,0.5242,0.0313,0.0574,0.2737,0.0170,0.0887,0.0737
0.10919,9.16,0.1748,0.1389,0.0259,0.4820,0.0466,0.0415,0.2458,0.0197,0.0859,0.0506
0.11295,8.85,0.1643,0.1246,0.0257,0.4380,0.0251,0.0182,0.1445,-0.0111,0.0988,0.0317
0.11672,8.57,0.1263,0.0632,-0.0038,0.3684,-0.0060,-0.0493,0.1067,0.0068,0.0614,0.0211
0.12048,8.30,0.0682,0.0459,0.0285,0.3030,0.0295,-0.0077,0.1031,0.0118,0.0467,-0.0230
0.12425,8.05,0.0177,0.0190,0.0011,0.2252,0.0406,0.0208,0.0259,0.0353,0.0314,0.0218
0.12801,7.81,-0.0348,0.0211,-0.0264,0.2112,-0.0180,-0.0104,-0.0229,0.0250,-0.0026,0.0326
0.13178,7.59,-0.0119,0.0304,-0.0171,0.1694,-0.0532,-0.0001,0.0024,0.0006,0.0064,0.0078
0.13554,7.38,-0.0152,0.0271,-0.0321,0.1153,-0.0076,-0.0132,0.0119,0.0017,-0.0095,0.0107
0.13931,7.18,-0.0022,-0.0261,-0.0475,0.1056,-0.0050,-0.0196,0.0128,-0.0013,-0.0119,0.0017
0.14307,6.99,-0.0039,-0.0261,0.0107,0.0397,0.0016,-0.0054,-0.0081,-0.0123,-0.0117,0.0172
0.14684,6.81,0.0014,-0.0033,-0.0034,-0.0262,0.0006,-0.0020,0.0097,-0.0023,0.0073,0.0109
