,P6,P7,P8,P9,P10
P6,0.6773275000000001,0.005605000000000006,0.05019250000000001,0.02323,0.09584250000000001
P7,0.024122500000000012,0.47115,0.12442750000000005,0.020612500000000002,0.022045
P8,0.07921,0.07932750000000001,0.5531900000000001,0.03666500000000001,0.028157500000000002
P9,0.0742225,0.0363025,0.0887825,0.5105775,0.038845000000000005
P10,0.1784275,0.016075000000000002,0.022532500000000004,0.0137225,0.68697
