,P6,P7,P8,P9,P10
P6,0.32043831902488285,0.20587470489238507,0.21112252364288162,0.13747963130139715,0.12508482113845204
P7,0.2832519300014197,0.22298443709838098,0.22763439758808005,0.1443329673572408,0.12179626795487693
P8,0.2660870742534677,0.20505951176891868,0.2606087274947883,0.1520270735005167,0.11621761298230973
P9,0.27065586111932294,0.2051052886202096,0.24217734367232982,0.16256887850200163,0.11949262808614025
P10,0.29498148873827884,0.20930570970603757,0.2171450129495499,0.14310766674203082,0.13546012186410378
