class,ensemble_hard,gmm_hard,ensemble_soft_mean,deconvolved
P6,0.39097032934599557,0.39615705133769685,0.33285583612691655,0.33285583612692243
P7,0.2489279327766107,0.2345179603812566,0.3339297994552563,0.33392979945528417
P8,0.3601017378773937,0.36932498828104654,0.3332143644178191,0.3332143644177934
