freq_per_A,resolution_A,P7_hetero_vs_P7_nu09
0.00000,,1.0000
0.00377,265.60,0.9981
0.00753,132.80,0.9899
0.01130,88.53,0.9369
0.01506,66.40,0.9284
0.01883,53.12,0.8888
0.02259,44.27,0.8447
0.02636,37.94,0.7988
0.03012,33.20,0.7431
0.03389,29.51,0.7208
0.03765,26.56,0.6467
0.04142,24.15,0.4252
0.04518,22.13,0.3628
0.04895,20.43,0.3685
0.05271,18.97,0.3457
0.05648,17.71,0.2319
0.06024,16.60,0.1390
0.06401,15.62,0.1381
0.06777,14.76,0.1976
0.07154,13.98,0.2103
0.07530,13.28,0.1733
0.07907,12.65,0.1679
0.08283,12.07,0.1566
0.08660,11.55,0.1315
0.09036,11.07,0.1463
0.09413,10.62,0.1376
0.09789,10.22,0.1386
0.10166,9.84,0.1346
0.10542,9.49,0.1163
0.10919,9.16,0.1172
0.11295,8.85,0.0751
0.11672,8.57,0.0888
0.12048,8.30,0.1091
0.12425,8.05,0.0999
0.12801,7.81,0.0833
0.13178,7.59,0.0585
0.13554,7.38,0.0293
0.13931,7.18,0.0311
0.14307,6.99,0.0147
0.14684,6.81,-0.0134
