,P6,P7,P8,P9,P10,P11,P12,P13,P14
P6,0.0,1.1943843155888244e-15,0.0,8.189541371476999e-11,0.0,0.0,0.0,0.0,0.0
P7,1.1943843155888244e-15,0.0,2.1475990785551425e-16,4.595093846315636e-09,0.0,0.0,0.0,0.0,0.0
P8,0.0,2.1475990785551425e-16,0.0,3.272450936531733e-08,2.2525089402320636e-39,0.0,0.0,0.0,0.0
P9,8.189541371476999e-11,4.595093846315636e-09,3.272450936531733e-08,0.0,2.456520691995368e-09,4.452543459533826e-08,2.6485569354460046e-16,6.733562359459612e-19,1.81507646127097e-33
P10,0.0,0.0,2.2525089402320636e-39,2.456520691995368e-09,0.0,0.0,0.0,0.0,0.0
P11,0.0,0.0,0.0,4.452543459533826e-08,0.0,0.0,0.0,3.0262625450131435e-07,0.0
P12,0.0,0.0,0.0,2.6485569354460046e-16,0.0,0.0,0.0,0.0,0.0
P13,0.0,0.0,0.0,6.733562359459612e-19,0.0,3.0262625450131435e-07,0.0,0.0,0.0
P14,0.0,0.0,0.0,1.81507646127097e-33,0.0,0.0,0.0,0.0,0.0
