,P6,P7,P8,P9,P10,P11,P12,P13,P14
P6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
P12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999800000000001,1.9999999999999998e-05
P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333332e-05,0.9999766666666667
