,P6,P7,P8,P9,P10,P11,P12,P13,P14
P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010770329614269815,0.00010770329614269008
P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012565384549980508,0.00012565384549981118
