,P6,P7,P8,P9,P10,P11,P12,P13,P14
P6,0.7228402402492812,0.0,0.0,0.27715975975071877,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.6665918624523123,0.0,0.33340813754768767,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.6760886847451638,0.32391131525483613,0.0,0.0,0.0,0.0,0.0
P9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P10,0.0,0.0,0.0,0.3998643179638337,0.6001356820361663,0.0,0.0,0.0,0.0
P11,0.0,0.0,0.0,0.4657636887608069,0.0,0.5342363112391931,0.0,0.0,0.0
P12,0.0,0.0,0.0,0.30983993051247055,0.0,0.0,0.6901600694875295,0.0,0.0
P13,0.0,0.0,0.0,0.21639957889811673,0.0,0.19932155807696805,0.0,0.5842788630249152,0.0
P14,0.0,0.0,0.0,0.04243008678881389,0.0,0.0,0.0,0.0,0.9575699132111861
