class,observed_csparc_hard,corrected_soft,accuracy_soft,corrected_multi,accuracy_multi,corrected_pair,accuracy_pair,corrected_mc.g,accuracy_mc.g,corrected_eq.g,accuracy_eq.g
P6,0.28704491397420095,0.19949564364986988,0.32043831902488285,0.294687150023163,0.87048,0.2994167731077758,0.8399659998104462,0.11669787885577376,0.87934,0.280189865619352,0.75018
P7,0.20971718258997551,0.2034278764447262,0.22298443709838098,0.21413172243389014,0.7673,0.2099143109281372,0.7439666838555553,0.34543383607277195,0.54578,0.24288697331705786,0.69654
P8,0.2317618361429886,0.2000512716843951,0.2606087274947883,0.23485085400886965,0.84436,0.24023614857298245,0.8120660621005903,0.0,0.80132,0.17026206532798557,0.6888
P9,0.14789753294328026,0.1993213904119593,0.16256887850200163,0.14464624551595015,0.7535,0.14239738074415548,0.7239438051991658,0.37824820351615734,0.37356,0.22540802218940462,0.52852
P10,0.12357853434955468,0.19770381780904947,0.13546012186410378,0.111684028018127,0.73862,0.10803538664694912,0.6897797175692664,0.15962008155529692,0.55334,0.0812530735462,0.71134
