label,core_norm_factor,integrated_density_mask,volume_vox_at_core_half,volume_A3_at_core_half
P6,0.01771920919418335,18608.58984375,11651,426361.0477032864
P7,0.01872527413070202,19464.521484375,12453,455709.73539172823
P8,0.017834370955824852,20163.830078125,14215,520189.021809477
