uid,gmm_component,gmm_label,max_responsibility
1368917991669653577,0,P6,0.9999778281912094
16659594954410503041,0,P6,0.9999777886361398
1917116396825394719,0,P6,0.9999778052581152
17948224638893191571,1,P7,1.0
14641638750200149927,1,P7,1.0
2720823545376461611,0,P6,0.9999777887025262
7103696670733046399,1,P7,0.9999997219170687
17496043200283462916,0,P6,0.9999780176075432
8551597897195536528,1,P7,1.0
3130040797579250608,0,P6,0.9999777889723199
12401648706677266493,0,P6,0.9999777886351779
2812303901520190783,0,P6,0.9999777886940473
12199804243266152910,0,P6,0.9999777990035004
7636360398813166674,0,P6,0.9999777978704804
13659360154756761684,0,P6,0.9999777928238613
12054601812289332025,1,P7,1.0
2912824771294907301,0,P6,0.9999787751204829
15792581521010626416,0,P6,0.9999778414995899
12964961303066425250,0,P6,0.9999780757904274
5857710401778084931,1,P7,1.0
7393640509003133954,0,P6,0.9999777886360546
481865364799449413,0,P6,0.9999777892527684
2412485391025631369,1,P7,1.0
13105729399264859921,0,P6,0.9999777887282401
16358282297474920384,0,P6,0.9998034735446063
3391448775346840011,0,P6,0.9999777891933719
7806920224165762150,1,P7,0.9999999962715114
2333322181919371705,1,P7,1.0
8082090298500064164,0,P6,0.9999777892999492
15179966799007732237,0,P6,0.9996096266504038
7416352144423664784,0,P6,0.999978246138934
16683339153429192601,0,P6,0.9999777909738294
7528850601061119907,1,P7,1.0
14515371522519871423,0,P6,0.9999777894353796
13003220728815870788,0,P6,0.9999669788838633
624679376773309797,0,P6,0.9999777966827359
8504467154458112673,1,P7,1.0
3679940925985941107,0,P6,0.9999777886351917
18289351256070909769,0,P6,0.99997805486589
8034456893591758157,1,P7,1.0
860164262336358675,1,P7,1.0
5301294352956800324,0,P6,0.9999778032128561
16807694763619361878,0,P6,0.999977849343021
11175905266233836332,0,P6,0.9999775438596782
10756969444968968304,1,P7,1.0
15180908016960683754,0,P6,0.9999778326708232
7870419857323494485,1,P7,1.0
14119361936710714763,0,P6,0.9999764462537277
7313297361925695444,0,P6,0.9999777972234465
16186961912362808667,1,P7,1.0
5331499054543468349,0,P6,0.9999778001744226
8760629675301721267,0,P6,0.9999777886536418
4188733030627403522,1,P7,1.0
8507133859028641293,1,P7,1.0
3191928153283223921,0,P6,0.9999777900076176
2291313639997370072,0,P6,0.999977788672649
18346638621583451893,1,P7,1.0
14357374582519354643,0,P6,0.9999791719731753
10964821217025600072,0,P6,0.9999777894811775
8523337110157533018,1,P7,1.0
15924497568931162666,0,P6,0.9999577099596219
16642115611572374513,0,P6,0.9999726006711142
922351468019233626,1,P7,0.9996603421636581
1646239567323660809,0,P6,0.9999778092606041
9304091672842177825,1,P7,0.9999998168731875
10055159208074003556,0,P6,0.9999777886352352
9455223378784199503,1,P7,1.0
3658178275894647030,0,P6,0.9999788703190308
12760070159895850845,0,P6,0.9999777894887948
8955870980819233609,0,P6,0.9999777886351775
15025985444223974013,1,P7,1.0
15064504374004745913,0,P6,0.9986758892995525
5423012917396241230,0,P6,0.9999777886421483
10117331370688186462,0,P6,0.9999777886378703
8304581722949481739,1,P7,1.0
4086937687361086228,0,P6,0.9999780483670642
12106991012191847697,1,P7,1.0
12802437872894486609,0,P6,0.9999761395882584
14520368188930908242,0,P6,0.999977788636679
15332314159888472447,0,P6,0.9999777887442487
12491934542148669322,0,P6,0.9999778271128178
13549257644254390029,0,P6,0.9999783531304639
9045016522767529467,1,P7,1.0
5514251419741177531,1,P7,1.0
6937127828170136992,0,P6,0.9999777905413508
8483963378443773140,0,P6,0.9999777886360142
12335403568871373781,1,P7,1.0
8896939557194242112,1,P7,1.0
6065104817076281894,1,P7,1.0
16761461462228972865,0,P6,0.9999778715457305
12749692064982599044,0,P6,0.9999780078709078
744058291228822314,1,P7,1.0
10163054968566706727,0,P6,0.9999777886373749
9697623972355990210,1,P7,0.999999999999849
3710487425607121759,0,P6,0.999977788989948
8524681790913585747,0,P6,0.9999778010743374
16473932414955451636,1,P7,1.0
3572981642351637141,0,P6,0.9999777887495954
2086640779580292895,1,P7,1.0
17155223146388927398,0,P6,0.999867104594178
8362809314896543545,0,P6,0.9999777933765257
2030373979995109360,0,P6,0.9999777889064083
12541998981827654870,0,P6,0.9999777886750278
3926801388814210242,0,P6,0.9769257214039218
1532245776065717163,0,P6,0.9999780557290353
10270599737561290081,0,P6,0.9999779563716751
9086445124525247171,0,P6,0.9999777892470838
15576199954780364273,0,P6,0.999977788638393
15122489749557468924,0,P6,0.9999777886352716
4819370984177407976,1,P7,1.0
17792048736487666372,0,P6,0.9999778409708939
14438840268623146272,0,P6,0.9999778544160404
9705819856398342865,0,P6,0.9999783611874626
1379600470733967636,0,P6,0.9999777886390574
11342089671007554058,1,P7,1.0
4683371220374081490,0,P6,0.9999686611273682
520199346782922651,1,P7,1.0
14029098637883131766,1,P7,1.0
13308398199312290713,0,P6,0.9999778203143211
5866035988404729524,0,P6,0.9999779402686156
2888708020887266257,0,P6,0.9999779390829933
13567313368407211842,0,P6,0.9999782621881899
8072912805019421841,0,P6,0.9999777887489066
11989645629285372100,1,P7,1.0
11558118741965305127,0,P6,0.9999780912943065
3907919182220894422,0,P6,0.9999782160877078
5857995671733843170,0,P6,0.9999694739030461
14396556690201457571,0,P6,0.9988425820221812
5903827030161037629,0,P6,0.999978115771568
1219994394349216580,1,P7,1.0
15022464986323200929,1,P7,1.0
1462231996820572656,0,P6,0.9999783371635279
1642267432120535196,1,P7,1.0
2167967917308745990,0,P6,0.9999781205639171
11488718301667401965,0,P6,0.9999777954219067
3023862163155372010,0,P6,0.9999777928529912
5572907141476497693,0,P6,0.9999778226572235
1216251719333251621,0,P6,0.9999777887652141
16044681700060861976,1,P7,1.0
2875135399201437252,0,P6,0.9999777888696758
13288449534683584194,0,P6,0.9999788121100369
2869755513154024791,0,P6,0.9999780264729233
8211781211120416754,0,P6,0.9999777902554876
9502686284027115967,0,P6,0.9932948663386955
15270998200873361253,0,P6,0.9989868197284533
3119460690513123993,0,P6,0.9999777894305742
949345506502648777,0,P6,0.9999777886932848
3169455496343352028,0,P6,0.9999456319505757
2726572365589066022,1,P7,1.0
17150182119632601699,1,P7,1.0
15750314949948404449,1,P7,1.0
3942544083730138331,0,P6,0.9999777915765504
7330176005321887464,0,P6,0.9999780113545979
10641096994878940580,0,P6,0.9999777891612361
7882040442427038406,1,P7,1.0
15235318814961793835,1,P7,1.0
10036079560711526618,0,P6,0.9997565717201609
1441234607309348975,0,P6,0.9999778234727148
5999497877464871480,1,P7,1.0
1933834993180547966,0,P6,0.9999777928062603
2423460879178450448,0,P6,0.9999782980725417
5615205761732650966,1,P7,1.0
10213973854380714596,0,P6,0.9999777886651129
11951778425800060091,1,P7,1.0
6043202768933484564,0,P6,0.9999783279255339
15976013264621946514,1,P7,0.9999999999997549
2073830262352702165,1,P7,1.0
10122217132273318077,0,P6,0.9999734002232998
7961869763831892520,1,P7,1.0
9851269107871989142,0,P6,0.9999777966741963
16597549625482038892,0,P6,0.9999780486029628
2337423417842925720,0,P6,0.999978006041968
10155424301549144336,0,P6,0.9999698568613394
18056730244579138663,1,P7,1.0
5963449317889127595,0,P6,0.9999778245405271
7631785254214031551,0,P6,0.9999777886412992
7773966756653748557,1,P7,0.9999999999999929
3381668066297216179,0,P6,0.9999783768967453
6908625071774812779,0,P6,0.9999777886354355
2521891234408831939,0,P6,0.9999777905523572
16005908622445985180,0,P6,0.9965198514617267
6971723088065252404,0,P6,0.9999790056843909
4145266934106690519,1,P7,1.0
15776481908117476868,0,P6,0.9999777900958264
111479739565664911,0,P6,0.9999777946062804
17761062322547241474,1,P7,1.0
13002817114190583824,0,P6,0.9999778827421735
15447759152049963451,0,P6,0.9999777927755793
5996507679825593583,1,P7,1.0
4821137405344203240,0,P6,0.9999785939147204
