uid,class,weight
1368917991669653577,P6,0.3756358027458191
16659594954410503041,P6,0.3897716701030731
1917116396825394719,P6,0.34601926803588867
17948224638893191571,P6,0.3643565773963928
9481007276932793706,P6,0.3679129481315613
14641638750200149927,P6,0.35747987031936646
2720823545376461611,P6,0.3804093301296234
7103696670733046399,P6,0.3805840313434601
17496043200283462916,P6,0.37455233931541443
8551597897195536528,P6,0.3651820123195648
3130040797579250608,P6,0.38741594552993774
12401648706677266493,P6,0.3997603952884674
2812303901520190783,P6,0.39458155632019043
12199804243266152910,P6,0.35875293612480164
7636360398813166674,P6,0.3899194598197937
13659360154756761684,P6,0.3775254189968109
12054601812289332025,P6,0.3475711941719055
2912824771294907301,P6,0.35582026839256287
15792581521010626416,P6,0.3733431398868561
12964961303066425250,P6,0.36462992429733276
5857710401778084931,P6,0.3693646788597107
7393640509003133954,P6,0.4137038588523865
481865364799449413,P6,0.36553263664245605
2412485391025631369,P6,0.379954069852829
13105729399264859921,P6,0.3791238069534302
16358282297474920384,P6,0.31986168026924133
3391448775346840011,P6,0.3923318088054657
7806920224165762150,P6,0.34610074758529663
2333322181919371705,P6,0.3568772077560425
8082090298500064164,P6,0.3944852650165558
15179966799007732237,P6,0.3985985517501831
7416352144423664784,P6,0.38304582238197327
16683339153429192601,P6,0.3788493871688843
7528850601061119907,P6,0.33542242646217346
14515371522519871423,P6,0.3928403854370117
13003220728815870788,P6,0.3741605877876282
624679376773309797,P6,0.3790099322795868
8504467154458112673,P6,0.34801435470581055
3679940925985941107,P6,0.3913397490978241
18289351256070909769,P6,0.361040323972702
8034456893591758157,P6,0.3564656376838684
860164262336358675,P6,0.3631962239742279
5301294352956800324,P6,0.36535072326660156
16807694763619361878,P6,0.3772623538970947
11175905266233836332,P6,0.35989323258399963
10756969444968968304,P6,0.36424484848976135
15180908016960683754,P6,0.3739941120147705
7870419857323494485,P6,0.3608531951904297
14119361936710714763,P6,0.3672478497028351
7313297361925695444,P6,0.38078489899635315
16186961912362808667,P6,0.34719324111938477
5331499054543468349,P6,0.37622520327568054
8760629675301721267,P6,0.40889930725097656
4188733030627403522,P6,0.34593465924263
8507133859028641293,P6,0.36395463347435
