uid,basin,cryosparc_hard_class
6043202768933484564,1,P6
15976013264621946514,1,P6
2073830262352702165,1,P6
10122217132273318077,1,P6
7961869763831892520,1,P6
9851269107871989142,1,P6
16597549625482038892,1,P6
2337423417842925720,1,P6
10155424301549144336,1,P6
18056730244579138663,1,P6
5963449317889127595,1,P6
7631785254214031551,1,P6
7773966756653748557,1,P6
3381668066297216179,1,P6
6908625071774812779,1,P6
2521891234408831939,1,P6
16005908622445985180,1,P6
6971723088065252404,1,P10
4145266934106690519,1,P6
15776481908117476868,1,P6
111479739565664911,1,P10
17761062322547241474,1,P6
13002817114190583824,1,P6
15447759152049963451,1,P6
5996507679825593583,1,P10
4821137405344203240,1,P6
13222389220575412052,1,P6
5012388918981888708,1,P6
1479175246748573655,1,P6
15109365926765148367,1,P6
17764431257709505622,1,P6
17859096366592306473,1,P6
10726336330405717899,1,P6
8468649955182539853,1,P6
1735530589891440231,1,P6
3277753441964604048,1,P10
1828511078943679699,1,P6
13219593527525023147,1,P10
6211071829820976443,1,P6
3878110518148246135,1,P6
2500099936550581752,1,P10
1893564437832435091,1,P6
17629560603797888226,1,P6
9397599463883674362,1,P6
1068330585135400686,1,P6
14751671609576902184,1,P10
9669619003356821865,1,P6
15156246056722557152,1,P6
8167082235169424430,1,P6
5862267266504403092,1,P6
10994250691664794046,1,P6
12216089340025142093,1,P6
17769834888468513920,1,P6
17148519262433074471,1,P6
7374902986147071824,1,P6
560713406484723786,1,P6
10399078216422878760,1,P6
10030077880327216799,1,P6
15430756041032302844,1,P6
5645950714039395631,1,P6
12922317308094372891,1,P6
6546768356267086016,1,P6
5225072224338797056,1,P6
18315575924134444985,1,P10
15140874887542086471,1,P6
2509171043567677708,1,P6
6895456453143391464,1,P7
3693045583237609496,1,P6
4296647018935497781,1,P6
9953794191141273684,1,P6
10863534216012842462,1,P6
5627173036773265800,1,P6
17868215935101082705,1,P6
3855932176809428537,1,P6
8610079461091420317,1,P6
11235543102289442700,1,P6
5879426860432927745,1,P10
18117121597685082641,1,P6
11895779913850545918,1,P6
450994509023073887,1,P9
6344139375750241036,1,P6
1032620289245288064,1,P6
692157123421335231,1,P6
13894787995630725541,1,P10
4154779529345125894,1,P6
5072295203497022185,1,P10
1640549458582001361,1,P6
10943342702019738795,1,P10
11408734300198068335,1,P6
5801101863906634783,1,P10
2563401706439609984,1,P6
17830453030328292001,1,P6
17442075592592561776,1,P10
9552157853217606525,1,P6
5582092845181249498,1,P6
16996489918190619293,1,P6
12015280293234640542,1,P6
5385121724885638763,1,P6
11652421722415162036,1,P6
14547735853315415261,1,P6
6958647435082937151,1,P6
14791536185739950999,1,P6
7971338821142134691,1,P10
7809129745617843869,1,P6
15349609513400921506,1,P6
15269176991586972473,1,P6
4773327607632002714,1,P6
17556142001479494171,1,P6
15751181951039595148,1,P6
5544459926008996400,1,P6
5742636415451942024,1,P6
6448634781816697596,1,P6
13478794800055985929,1,P10
4067994111382992107,1,P6
18259677140999556627,1,P6
6361415348553873206,1,P6
9934232314813936493,1,P6
4233180866453780308,1,P6
8777943099366200589,1,P6
3503824417538119967,1,P10
7549114391684736274,1,P7
5510805968706949137,1,P6
17776686455650214644,1,P6
14616038564404043424,1,P6
12536145781893724849,1,P6
17891938518223037598,1,P6
4807646134222784559,1,P6
3155513494323687985,1,P6
652896528102973553,1,P10
7116260344716544293,1,P6
15051294891895604292,1,P10
18128580603930148476,1,P6
58743371336975861,1,P6
1211366447509174062,1,P6
9238324228038881709,3,P6
10308510228656450939,1,P6
17935928807910363632,1,P6
6942709647748544509,1,P6
2499611297229585477,1,P6
444913822866177270,1,P6
17169803980392972156,1,P6
6485972014556472112,1,P6
769178923992998408,1,P6
17129663733079901292,1,P6
12368109957863530455,1,P6
15751104823016247121,1,P10
6958552952682021040,1,P6
5960727009759434669,1,P6
6716940612056666893,1,P6
1896546453391298914,1,P6
653436012358760263,1,P6
8639930495180476171,1,P6
762459790995262599,1,P6
14555739143159668803,1,P6
2460912388249059327,1,P6
8233885673295945771,1,P6
13691370847646174454,1,P6
2010002671302650075,1,P6
17364355179994139676,1,P10
3749553106706732535,1,P6
16641758040481771305,1,P6
13892047614501207729,1,P10
17976300512756492978,1,P10
16220581446813739472,1,P6
5404027545884694836,1,P6
11170512764403279969,1,P10
9763525891216973836,1,P6
9787918317354618260,1,P6
8902893500659624264,1,P6
4423598256812834928,1,P6
11816729055633459597,1,P6
2978795719590244277,1,P6
2839925519428388998,1,P6
5089990976563071472,1,P6
15707825138859664515,1,P6
17155733872374857890,1,P6
1007227465084392526,1,P6
9963016025750062298,1,P6
6819618295405924731,1,P6
14634320376842894449,1,P7
11926172640664781570,1,P6
2867686893494638144,1,P6
13276385929892500222,1,P6
2226100818293747881,1,P10
14134782110638304276,1,P6
2601585371414338101,1,P6
9687764261514870127,1,P6
2817350435704886083,1,P6
18318700410025864885,1,P6
18040052696406116290,1,P6
10019850564566653778,1,P6
12590496449120103703,1,P10
15714077122569766988,1,P6
8524346345775994630,1,P6
15407243808146561830,1,P6
5744149287601901100,1,P6
9768453183246903037,1,P6
13277813117905830210,1,P7
2281006358107145198,1,P6
7337309716689560036,1,P6
7267586629799319003,1,P6
5831316430978667671,1,P7
13663759860748624649,1,P6
9682515110536995805,1,P10
1196815181921395674,1,P6
16534858402656895040,1,P6
11745126298659316265,1,P6
6279450665110930300,1,P6
15432959060983299569,1,P6
7928207564315603344,1,P6
10417201315648968943,1,P6
12992309805361874753,1,P6
3441850293501528880,1,P6
2942514682098017047,1,P6
9007268419548434495,1,P6
2137394226730851815,1,P6
2184366372600699661,1,P6
10835796016138619803,1,P10
12123932611354889912,1,P6
14718518878789916279,1,P6
14136649817357609548,1,P6
15237345978346049943,1,P10
15922157530495206266,1,P6
15379025901737920139,1,P6
5092265987184468388,1,P6
7068071447197647330,1,P6
4159599870545078345,1,P7
551187660630903016,1,P6
12456070323101776686,1,P6
7644032241836324731,1,P6
13654744514690696623,1,P10
15189597188220745954,1,P6
10268933109037017433,1,P6
14185921868955427645,1,P6
5639064806648200309,1,P6
3570483259614929403,1,P6
16447651733328010073,1,P10
2509446446365567687,1,P6
14666181834610151954,1,P6
11670639995579503785,1,P6
17762412936242225239,1,P6
11011414588858406495,1,P6
9353094609173345915,1,P6
6391368837022742527,1,P6
2324869167593038287,1,P6
1235145379410878075,1,P6
3450549947329755603,1,P6
18098042616008470808,1,P6
6692877811473926033,1,P10
428888446839972759,1,P6
18307014413789834909,1,P6
3896481632253652519,1,P10
10297347422962186215,1,P6
11818280471401925359,1,P6
12703714850098476681,1,P6
6672245529288560162,1,P6
11518781061362292561,1,P6
10496416678464932870,1,P6
336465483627589939,1,P6
2060223508881997284,1,P9
4308712735525416528,1,P6
12626880812514829107,1,P6
18076508783226281361,1,P6
7407642389025200288,1,P6
11909127358849124663,1,P6
11265920037532051500,1,P6
10669522504510008158,1,P6
8002130540431449578,1,P6
8836801775761451053,1,P6
864456254129652443,1,P6
18336359501379157848,1,P6
7116669244507295957,1,P6
7810642755720058677,1,P6
5609394893914532052,1,P6
16212271680909297771,1,P6
14651332170840578482,1,P6
18051239933471053638,1,P10
2496422965502634280,1,P6
5317641043395091541,1,P6
3595303602284930314,1,P6
8007411454829171942,1,P6
6714832956523823626,1,P10
3161083816462175650,1,P6
13348645871450828876,1,P6
7103544201597210060,1,P6
10649672108725799272,1,P6
7165473474421176218,1,P6
16681438740605119666,1,P6
11365776629564755274,1,P6
4789428908605233258,1,P6
4902851564031320756,1,P6
7420102891507360167,1,P6
4641429120352347485,1,P6
9661986430042603622,1,P6
5003725964011252173,1,P6
11639543522657841615,1,P6
8220777278558067592,1,P9
14391880550967713488,1,P6
15631334578056798245,1,P6
8677624450944076301,1,P6
1379769046425391260,1,P6
4794124191543657271,1,P6
12215874919837243992,1,P6
7628177324981281855,1,P6
584024130826503817,1,P10
13554753729323675450,1,P6
1871251963290826119,1,P6
4509107264440280671,1,P6
16786777658821381980,1,P7
132262301106886504,1,P6
10495674064688853895,1,P6
10718495979641948981,1,P6
3136951168350072731,1,P10
14769263325505431925,1,P10
9857015661965230236,1,P6
11144350837139146095,1,P10
16273637802686770530,1,P7
8721940638850592326,1,P6
7388393324001921614,1,P6
9700725669289591530,1,P6
727311637158233840,1,P7
1394850659101322986,1,P6
569774336373589472,1,P6
8865796567716625165,1,P10
721047918757711951,1,P6
8547910703117811892,1,P6
10627411833959068427,1,P6
14184030826321056419,1,P6
17756836286456465903,1,P6
6222896996030672601,1,P6
6146613828820439636,1,P6
