uid,gmm_component,gmm_label,max_responsibility
1368917991669653577,0,P6,0.9164745635516617
16659594954410503041,0,P6,0.9379014944819061
9481007276932793706,0,P6,0.9002048962355677
7103696670733046399,0,P6,0.9297484056739359
17496043200283462916,0,P6,0.9290824373332436
3130040797579250608,0,P6,0.9462280421731526
2812303901520190783,0,P6,0.940075651050985
13659360154756761684,0,P6,0.9188821635095209
15792581521010626416,0,P6,0.9182194106858153
2412485391025631369,0,P6,0.9433064625658146
13105729399264859921,0,P6,0.938205964812869
16358282297474920384,1,P7,0.9180920725040812
8082090298500064164,0,P6,0.9395708033899438
7416352144423664784,0,P6,0.9470386422087048
14515371522519871423,0,P6,0.9226747831958099
13003220728815870788,2,P8,0.9999857934006123
624679376773309797,0,P6,0.931570206052987
3679940925985941107,0,P6,0.9302847461006378
16807694763619361878,0,P6,0.9376737334454883
15180908016960683754,0,P6,0.9191816559141075
5331499054543468349,0,P6,0.9310011303401767
8760629675301721267,2,P8,0.9999996151729168
18346638621583451893,0,P6,0.9307281461606068
10964821217025600072,0,P6,0.9235919324600163
9304091672842177825,0,P6,0.9403425499368608
10055159208074003556,0,P6,0.9305901161137264
5423012917396241230,0,P6,0.9107505291012387
10117331370688186462,0,P6,0.9500966069157902
12491934542148669322,0,P6,0.9308270551840244
12335403568871373781,0,P6,0.9239292992007685
16761461462228972865,0,P6,0.9291359056920653
12749692064982599044,0,P6,0.9233106320345636
744058291228822314,1,P7,0.9383638733773207
9697623972355990210,0,P6,0.9202357100771531
8524681790913585747,0,P6,0.9264404642430297
2086640779580292895,1,P7,0.9075755729175552
12541998981827654870,0,P6,0.9451509537167312
1532245776065717163,0,P6,0.9352395485755287
9086445124525247171,0,P6,0.9236253991464064
15576199954780364273,0,P6,0.93178068133644
14438840268623146272,0,P6,0.9432435351325055
1379600470733967636,0,P6,0.9121704154254533
14029098637883131766,1,P7,0.9365521248815393
5866035988404729524,0,P6,0.9432501543824616
2888708020887266257,0,P6,0.9517698305902677
3907919182220894422,0,P6,0.9269188848171013
14396556690201457571,0,P6,0.9242494549018109
5903827030161037629,0,P6,0.9295556357153157
11488718301667401965,0,P6,0.9414161311484757
3023862163155372010,0,P6,0.951212076303005
1216251719333251621,1,P7,0.9261293488757039
2875135399201437252,0,P6,0.9489129852763799
8211781211120416754,0,P6,0.909781775476697
3119460690513123993,0,P6,0.9413112661489985
949345506502648777,0,P6,0.925413081822413
3169455496343352028,0,P6,0.9417436115721489
3942544083730138331,0,P6,0.9008957493607027
