label,core_norm_factor,integrated_density_mask,volume_vox_at_core_half,volume_A3_at_core_half
P6,0.02010541595518589,19050.537109375,10983,401916.006087477
P7,0.019737940281629562,17730.93359375,13173,482057.6844387084
P8,0.017328206449747086,18421.650390625,15366,562309.1459109689
