class,observed_csparc_hard,observed_soft_mean_post,observed_gmm_hard,corrected_soft_posterior,corrected_analytical,corrected_mean_boot,corrected_std_boot,corrected_lo,corrected_hi
P6,0.28704491397420095,0.19949564364983718,0.4607458462820535,0.19949564364986988,0.294687150023163,0.29541382489055656,0.0020068920333419205,0.2915532918607867,0.2992599432270206
P7,0.20971718258997551,0.2034278764447988,0.06371638396499939,0.2034278764447262,0.21413172243389014,0.21395564466007846,0.0023919037142669263,0.2091738992993327,0.2188440435059367
P8,0.2317618361429886,0.20005127168436337,0.370635774926648,0.2000512716843951,0.23485085400886965,0.2354742829748382,0.0018906081134600853,0.23167789835848218,0.2391208991194517
P9,0.14789753294328026,0.19932139041195118,0.03228354658935051,0.1993213904119593,0.14464624551595015,0.14357510867453466,0.0018571234415428062,0.14043967683503097,0.14732811948313507
P10,0.12357853434955468,0.19770381780904941,0.07261844823694856,0.19770381780904947,0.111684028018127,0.11158113879999218,0.0019813777101095153,0.10803303729903996,0.11501983431327034
