class,observed_csparc_hard,observed_soft_mean_post,observed_gmm_hard,corrected_mc,corrected_analytical,corrected_mean_boot,corrected_std_boot,corrected_lo,corrected_hi,corrected_mean_boot_mc,corrected_std_boot_mc
P6,0.36390822757339536,0.3306731298924397,0.2834684629941492,0.11077862613900946,0.3642090073121883,0.36356868196295244,0.001970519255408454,0.35990971042972114,0.36717888765247575,0.2750045168582323,0.009369696290575021
P7,0.2937160367367489,0.3370873494992266,0.6803199708328269,0.0,0.28998323594759184,0.2902137655942143,0.0025201657635424294,0.2855265882468289,0.2951822088563766,0.6204665237926008,0.009382373082300064
P8,0.34237573568985574,0.33223952060833367,0.03621156617302384,0.8892213738609905,0.3458077567402198,0.34621755244283337,0.0021081965413051107,0.3423824425485108,0.35015229173400836,0.10452895934916691,0.01230388555589961
