class,observed,corrected,corrected_mean_boot,corrected_std_boot,corrected_lo,corrected_hi
P6,0.2834684629941492,0.2812571443071752,0.27484197799413856,0.011019825671168437,0.2565078868943217,0.2848414250135528
P7,0.6803199708328269,0.6225847113955109,0.6249858066138557,0.007212954952879863,0.6182037069056465,0.6354799218058701
P8,0.03621156617302384,0.09615814429731402,0.10017221539200569,0.013720280030943395,0.08687829687608307,0.12347624556391504
