,P6,P7,P8
r=0,0.325685041016932,0.5607905282494676,0.11352443073360033
r=1,0.2919383210568711,0.492797001515821,0.21526467742730776
r=2,0.3449440794630669,0.19860486701436664,0.4564510535225665
r=3,0.3529823262664401,0.2944376804918499,0.35257999324170997
