,weight_std
P6,0.06868571144382488
P7,0.08376017126797863
P8,0.05517615308804913
P9,0.08498603651387673
P10,0.0071677016782341445
P11,0.13689714861079033
P12,0.06824074437283756
P13,0.028485237647717775
P14,0.027421952970838274
